Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
A,714,1,,20250901,20250901,380,,,,,,,,,,,,,,,,,,845.87,177.63,13608.5,,0,5125,13608.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1023.5,845.87,177.63,1023.5,Taxabile,21,310344,,
A,715,1,,20250902,20250902,380,,,,,,,,,,,,,,,,,,683.47,143.53,11083.0,,0,5125,11083.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,827.0,683.47,143.53,827.0,Taxabile,21,310344,,
A,716,1,,20250903,20250903,380,,,,,,,,,,,,,,,,,,1667.36,350.14,12862.5,,0,5125,12862.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,2017.5,1667.36,350.14,2017.5,Taxabile,21,310344,,
A,717,1,,20250904,20250904,380,,,,,,,,,,,,,,,,,,1194.63,250.87,14060.0,,0,5125,14060.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1445.5,1194.63,250.87,1445.5,Taxabile,21,310344,,
A,718,1,,20250905,20250905,380,,,,,,,,,,,,,,,,,,720.66,151.34,16232.5,,0,5125,16232.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,872.0,720.66,151.34,872.0,Taxabile,21,310344,,
A,719,1,,20250906,20250906,380,,,,,,,,,,,,,,,,,,381.82,80.18,6295.0,,0,5125,6295.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,462.0,381.82,80.18,462.0,Taxabile,21,310344,,
A,720,1,,20250908,20250908,380,,,,,,,,,,,,,,,,,,706.2,148.3,10173.0,,0,5125,10173.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,854.5,706.2,148.3,854.5,Taxabile,21,310344,,
A,721,1,,20250909,20250909,380,,,,,,,,,,,,,,,,,,2629.75,552.25,13738.0,,0,5125,13738.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,3182.0,2629.75,552.25,3182.0,Taxabile,21,310344,,
A,722,1,,20250910,20250910,380,,,,,,,,,,,,,,,,,,849.59,178.41,11134.0,,0,5125,11134.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1028.0,849.59,178.41,1028.0,Taxabile,21,310344,,
A,723,1,,20250911,20250911,380,,,,,,,,,,,,,,,,,,853.72,179.28,16955.0,,0,5125,16955.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1033.0,853.72,179.28,1033.0,Taxabile,21,310344,,
A,724,1,,20250912,20250912,380,,,,,,,,,,,,,,,,,,619.42,130.08,13403.5,,0,5125,13403.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,749.5,619.42,130.08,749.5,Taxabile,21,310344,,
A,725,1,,20250913,20250913,380,,,,,,,,,,,,,,,,,,297.11,62.39,7987.5,,0,5125,7987.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,359.5,297.11,62.39,359.5,Taxabile,21,310344,,
A,726,1,,20250914,20250914,380,,,,,,,,,,,,,,,,,,0.0,0.0,1230.0,,0,5125,1230.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,0.0,0.0,0.0,0.0,Taxabile,21,310344,,
A,727,1,,20250915,20250915,380,,,,,,,,,,,,,,,,,,845.04,177.46,11444.0,,0,5125,11444.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1022.5,845.04,177.46,1022.5,Taxabile,21,310344,,
A,728,1,,20250916,20250916,380,,,,,,,,,,,,,,,,,,1015.29,213.21,11514.5,,0,5125,11514.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1228.5,1015.29,213.21,1228.5,Taxabile,21,310344,,
A,729,1,,20250917,20250917,380,,,,,,,,,,,,,,,,,,2956.61,620.89,16022.0,,0,5125,16022.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,3577.5,2956.61,620.89,3577.5,Taxabile,21,310344,,
A,730,1,,20250918,20250918,380,,,,,,,,,,,,,,,,,,1045.45,219.55,12096.0,,0,5125,12096.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1265.0,1045.45,219.55,1265.0,Taxabile,21,310344,,
A,731,1,,20250919,20250919,380,,,,,,,,,,,,,,,,,,1705.79,358.21,14267.5,,0,5125,14267.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,2064.0,1705.79,358.21,2064.0,Taxabile,21,310344,,
A,732,1,,20250920,20250920,380,,,,,,,,,,,,,,,,,,658.68,138.32,12344.5,,0,5125,12344.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,797.0,658.68,138.32,797.0,Taxabile,21,310344,,
A,733,1,,20250922,20250922,380,,,,,,,,,,,,,,,,,,585.95,123.05,9108.5,,0,5125,9108.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,709.0,585.95,123.05,709.0,Taxabile,21,310344,,
A,734,1,,20250923,20250923,380,,,,,,,,,,,,,,,,,,731.82,153.68,16229.0,,0,5125,16229.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,885.5,731.82,153.68,885.5,Taxabile,21,310344,,
A,735,1,,20250924,20250924,380,,,,,,,,,,,,,,,,,,911.57,191.43,12233.0,,0,5125,12233.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1103.0,911.57,191.43,1103.0,Taxabile,21,310344,,
A,736,1,,20250925,20250925,380,,,,,,,,,,,,,,,,,,564.46,118.54,11827.5,,0,5125,11827.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,683.0,564.46,118.54,683.0,Taxabile,21,310344,,
A,737,1,,20250926,20250926,380,,,,,,,,,,,,,,,,,,983.06,206.44,14262.0,,0,5125,14262.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1189.5,983.06,206.44,1189.5,Taxabile,21,310344,,
A,738,1,,20250927,20250927,380,,,,,,,,,,,,,,,,,,699.17,146.83,13696.5,,0,5125,13696.5,5311,0,5328,4427,autoservire 21%,,,1,,,,,,846.0,699.17,146.83,846.0,Taxabile,21,310344,,
A,739,1,,20250929,20250929,380,,,,,,,,,,,,,,,,,,3589.26,753.74,20960.0,,0,5125,20960.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,4343.0,3589.26,753.74,4343.0,Taxabile,21,310344,,
A,740,1,,20250930,20250930,380,,,,,,,,,,,,,,,,,,836.78,175.72,25443.0,,0,5125,25443.0,5311,0,5328,4427,autoservire 21%,,,1,,,,,,1012.5,836.78,175.72,1012.5,Taxabile,21,310344,,
A,714,1,,20250901,20250901,380,,,,,,,,,,,,,,,,,,11337.84,1247.16,13608.5,,0,5125,13608.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,12585.0,11337.84,1247.16,12585.0,Taxabile,11,310351,,
A,715,1,,20250902,20250902,380,,,,,,,,,,,,,,,,,,9239.64,1016.36,11083.0,,0,5125,11083.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10256.0,9239.64,1016.36,10256.0,Taxabile,11,310351,,
A,716,1,,20250903,20250903,380,,,,,,,,,,,,,,,,,,9770.27,1074.73,12862.5,,0,5125,12862.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10845.0,9770.27,1074.73,10845.0,Taxabile,11,310351,,
A,717,1,,20250904,20250904,380,,,,,,,,,,,,,,,,,,11364.41,1250.09,14060.0,,0,5125,14060.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,12614.5,11364.41,1250.09,12614.5,Taxabile,11,310351,,
A,718,1,,20250905,20250905,380,,,,,,,,,,,,,,,,,,13838.29,1522.21,16232.5,,0,5125,16232.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,15360.5,13838.29,1522.21,15360.5,Taxabile,11,310351,,
A,719,1,,20250906,20250906,380,,,,,,,,,,,,,,,,,,5254.95,578.05,6295.0,,0,5125,6295.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,5833.0,5254.95,578.05,5833.0,Taxabile,11,310351,,
A,720,1,,20250908,20250908,380,,,,,,,,,,,,,,,,,,8395.05,923.45,10173.0,,0,5125,10173.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,9318.5,8395.05,923.45,9318.5,Taxabile,11,310351,,
A,721,1,,20250909,20250909,380,,,,,,,,,,,,,,,,,,9509.91,1046.09,13738.0,,0,5125,13738.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10556.0,9509.91,1046.09,10556.0,Taxabile,11,310351,,
A,722,1,,20250910,20250910,380,,,,,,,,,,,,,,,,,,9104.5,1001.5,11134.0,,0,5125,11134.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10106.0,9104.5,1001.5,10106.0,Taxabile,11,310351,,
A,723,1,,20250911,20250911,380,,,,,,,,,,,,,,,,,,14344.14,1577.86,16955.0,,0,5125,16955.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,15922.0,14344.14,1577.86,15922.0,Taxabile,11,310351,,
A,724,1,,20250912,20250912,380,,,,,,,,,,,,,,,,,,11400.0,1254.0,13403.5,,0,5125,13403.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,12654.0,11400.0,1254.0,12654.0,Taxabile,11,310351,,
A,725,1,,20250913,20250913,380,,,,,,,,,,,,,,,,,,6872.07,755.93,7987.5,,0,5125,7987.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,7628.0,6872.07,755.93,7628.0,Taxabile,11,310351,,
A,726,1,,20250914,20250914,380,,,,,,,,,,,,,,,,,,1108.11,121.89,1230.0,,0,5125,1230.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,1230.0,1108.11,121.89,1230.0,Taxabile,11,310351,,
A,727,1,,20250915,20250915,380,,,,,,,,,,,,,,,,,,9388.74,1032.76,11444.0,,0,5125,11444.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10421.5,9388.74,1032.76,10421.5,Taxabile,11,310351,,
A,728,1,,20250916,20250916,380,,,,,,,,,,,,,,,,,,9266.67,1019.33,11514.5,,0,5125,11514.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10286.0,9266.67,1019.33,10286.0,Taxabile,11,310351,,
A,729,1,,20250917,20250917,380,,,,,,,,,,,,,,,,,,11211.26,1233.24,16022.0,,0,5125,16022.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,12444.5,11211.26,1233.24,12444.5,Taxabile,11,310351,,
A,730,1,,20250918,20250918,380,,,,,,,,,,,,,,,,,,9757.66,1073.34,12096.0,,0,5125,12096.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,10831.0,9757.66,1073.34,10831.0,Taxabile,11,310351,,
A,731,1,,20250919,20250919,380,,,,,,,,,,,,,,,,,,10994.14,1209.36,14267.5,,0,5125,14267.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,12203.5,10994.14,1209.36,12203.5,Taxabile,11,310351,,
A,732,1,,20250920,20250920,380,,,,,,,,,,,,,,,,,,10403.15,1144.35,12344.5,,0,5125,12344.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,11547.5,10403.15,1144.35,11547.5,Taxabile,11,310351,,
A,733,1,,20250922,20250922,380,,,,,,,,,,,,,,,,,,7567.12,832.38,9108.5,,0,5125,9108.5,5311,0,5328,4427,autoservire 11%,,,1,,,,,,8399.5,7567.12,832.38,8399.5,Taxabile,11,310351,,
A,734,1,,20250923,20250923,380,,,,,,,,,,,,,,,,,,13822.97,1520.53,16229.0,,0,5125,16229.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,15343.5,13822.97,1520.53,15343.5,Taxabile,11,310351,,
A,735,1,,20250924,20250924,380,,,,,,,,,,,,,,,,,,10027.03,1102.97,12233.0,,0,5125,12233.0,5311,0,5328,4427,autoservire 11%,,,1,,,,,,11130.0,10027.03,1102.97,11130.0,Taxabile,11,310351,,
