Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
F,213,3,,20250901,20250901,380,,,,,,,,,,,,,,,,,,35.54,7.46,6269.28,,0,5125,6269.28,5311,0,5328,4427,ff 1 21%,,,1,,,,,,43.0,35.54,7.46,43.0,Taxabile,21,310344,,
F,214,3,,20250902,20250902,380,,,,,,,,,,,,,,,,,,23.14,4.86,5735.42,,0,5125,5735.42,5311,0,5328,4427,ff 1 21%,,,1,,,,,,28.0,23.14,4.86,28.0,Taxabile,21,310344,,
F,215,3,,20250903,20250903,380,,,,,,,,,,,,,,,,,,38.43,8.07,4718.74,,0,5125,4718.74,5311,0,5328,4427,ff 1 21%,,,1,,,,,,46.5,38.43,8.07,46.5,Taxabile,21,310344,,
F,216,3,,20250904,20250904,380,,,,,,,,,,,,,,,,,,52.89,11.11,5890.0,,0,5125,5890.0,5311,0,5328,4427,ff 1 21%,,,1,,,,,,64.0,52.89,11.11,64.0,Taxabile,21,310344,,
F,217,3,,20250905,20250905,380,,,,,,,,,,,,,,,,,,35.54,7.46,4822.02,,0,5125,4822.02,5311,0,5328,4427,ff 1 21%,,,1,,,,,,43.0,35.54,7.46,43.0,Taxabile,21,310344,,
F,218,3,,20250906,20250906,380,,,,,,,,,,,,,,,,,,19.01,3.99,5248.64,,0,5125,5248.64,5311,0,5328,4427,ff 1 21%,,,1,,,,,,23.0,19.01,3.99,23.0,Taxabile,21,310344,,
F,219,3,,20250907,20250907,380,,,,,,,,,,,,,,,,,,67.36,14.14,6130.45,,0,5125,6130.45,5311,0,5328,4427,ff 1 21%,,,1,,,,,,81.5,67.36,14.14,81.5,Taxabile,21,310344,,
F,220,3,,20250908,20250908,380,,,,,,,,,,,,,,,,,,94.83,19.92,5840.68,,0,5125,5840.68,5311,0,5328,4427,ff 1 21%,,,1,,,,,,114.75,94.83,19.92,114.75,Taxabile,21,310344,,
F,221,3,,20250909,20250909,380,,,,,,,,,,,,,,,,,,40.08,8.42,5754.07,,0,5125,5754.07,5311,0,5328,4427,ff 1 21%,,,1,,,,,,48.5,40.08,8.42,48.5,Taxabile,21,310344,,
F,222,3,,20250910,20250910,380,,,,,,,,,,,,,,,,,,36.78,7.72,6232.58,,0,5125,6232.58,5311,0,5328,4427,ff 1 21%,,,1,,,,,,44.5,36.78,7.72,44.5,Taxabile,21,310344,,
F,223,3,,20250911,20250911,380,,,,,,,,,,,,,,,,,,33.88,7.12,5933.5,,0,5125,5933.5,5311,0,5328,4427,ff 1 21%,,,1,,,,,,41.0,33.88,7.12,41.0,Taxabile,21,310344,,
F,224,3,,20250912,20250912,380,,,,,,,,,,,,,,,,,,76.03,15.97,5481.23,,0,5125,5481.23,5311,0,5328,4427,ff 1 21%,,,1,,,,,,92.0,76.03,15.97,92.0,Taxabile,21,310344,,
F,225,3,,20250913,20250913,380,,,,,,,,,,,,,,,,,,22.52,4.73,6983.84,,0,5125,6983.84,5311,0,5328,4427,ff 1 21%,,,1,,,,,,27.25,22.52,4.73,27.25,Taxabile,21,310344,,
F,226,3,,20250914,20250914,380,,,,,,,,,,,,,,,,,,45.87,9.63,5949.33,,0,5125,5949.33,5311,0,5328,4427,ff 1 21%,,,1,,,,,,55.5,45.87,9.63,55.5,Taxabile,21,310344,,
F,227,3,,20250915,20250915,380,,,,,,,,,,,,,,,,,,28.1,5.9,5567.42,,0,5125,5567.42,5311,0,5328,4427,ff 1 21%,,,1,,,,,,34.0,28.1,5.9,34.0,Taxabile,21,310344,,
F,228,3,,20250916,20250916,380,,,,,,,,,,,,,,,,,,23.14,4.86,6667.95,,0,5125,6667.95,5311,0,5328,4427,ff 1 21%,,,1,,,,,,28.0,23.14,4.86,28.0,Taxabile,21,310344,,
F,229,3,,20250917,20250917,380,,,,,,,,,,,,,,,,,,73.14,15.36,6513.83,,0,5125,6513.83,5311,0,5328,4427,ff 1 21%,,,1,,,,,,88.5,73.14,15.36,88.5,Taxabile,21,310344,,
F,230,3,,20250918,20250918,380,,,,,,,,,,,,,,,,,,37.81,7.94,7158.88,,0,5125,7158.88,5311,0,5328,4427,ff 1 21%,,,1,,,,,,45.75,37.81,7.94,45.75,Taxabile,21,310344,,
F,231,3,,20250919,20250919,380,,,,,,,,,,,,,,,,,,30.99,6.51,7088.15,,0,5125,7088.15,5311,0,5328,4427,ff 1 21%,,,1,,,,,,37.5,30.99,6.51,37.5,Taxabile,21,310344,,
