NR.linie,Serie,Numar document,Data,Data scadenta,Cod tip Factura,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Moneda,Curs,TVA la incasare,Taxare inversa,Factura de transport,Cod agent,Valoare neta totala,Valoare TVA,Total document,Denumire articol,Cantitate,Tip miscare stoc,Cont servicii,Pret de lista,Valoare fara tva,Val TVA,Valoare  cu TVa,Optiune TVA,Cota TVA,Cod TVA SAFT,Observatie,Centre de cost
,FV,7802,20260108,20260108,,SC VALEX  INTERNATIONAL EXIM  SRL,,7487265,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,123.97,,,,TAXABILE,21,,,
,FV,7803,20260108,20260108,,SC ND PHARMA SRL,,22082443,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,148.76,,,,TAXABILE,21,,,
,FV,7804,20260108,20260108,,SC SIDAVAUTO-SERV SRL,,36522269,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,165.29,,,,TAXABILE,21,,,
,FV,7805,20260109,20260109,,SC VALEX  INTERNATIONAL EXIM  SRL,,7487265,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,157.02,,,,TAXABILE,21,,,
,FV,7805,20260109,20260109,,SC VALEX  INTERNATIONAL EXIM  SRL,,7487265,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,165.29,,,,TAXABILE,21,,,
,FV,7805,20260109,20260109,,SC VALEX  INTERNATIONAL EXIM  SRL,,7487265,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,165.29,,,,TAXABILE,21,,,
,FV,7805,20260109,20260109,,SC VALEX  INTERNATIONAL EXIM  SRL,,7487265,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,650.0,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,34.71,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,99.17,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,47.11,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,47.11,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,268.6,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,4.96,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,150.0,,,,TAXABILE,21,,,
,FV,7806,20260109,20260109,,CYBERBREEZE S.R.L.,,48189312,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,148.76,,,,TAXABILE,21,,,
,FV,7807,20260109,20260109,,ELIOTRAX S.R.L.,,52352328,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,756.2,,,,TAXABILE,21,,,
,FV,7807,20260109,20260109,,ELIOTRAX S.R.L.,,52352328,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,150.0,,,,TAXABILE,21,,,
,FV,7808,20260112,20260112,,COLEGIUL TEHNIC DE COMUNICATII N.VASILE KARPEN,,4278310,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,148.76,,,,TAXABILE,21,,,
,FV,7809,20260112,20260112,,SC SSAB  AG  S.A.,,2816022,,,,,,,,,,,,,RON,,,,,,,,,MARFA 2,1,,,904.96,,,,TAXABILE,21,,,
,FV,7809,20260112,20260112,,SC SSAB  AG  S.A.,,2816022,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,350.0,,,,TAXABILE,21,,,
,FV,7810,20260112,20260112,,SC VALEX  INTERNATIONAL EXIM  SRL,,7487265,,,,,,,,,,,,,RON,,,,,,,,,Servicii vandute,1,,,150.0,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,252.89,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,198.35,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,74.38,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,173.55,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,619.83,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,42.15,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,211.57,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,24.79,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,28.93,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,34.71,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,30.58,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,38.02,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,35.54,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,55.37,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,206.61,,,,TAXABILE,21,,,
,FV,7811,20260112,20260112,,SC ETNA SRL,,982231,,,,,,,,,,,,,RON,,,,,,,,,MARFA 1,1,,,177.69,,,,TAXABILE,21,,,
