Nr. inreg.,Tip inregistrare,Jurnal,Data,Data scadenta,Numar document,Cod tip factura,Cont debit simbol,Cont debit titlu,Metoda de plata SAF-T,Mecanism de plata SAF-T,Tip Taxa SAF-T,Cod Taxa SAF-T,Cont credit simbol,Cont credit titlu,Metoda de plata SAF-T    ,Mecanism de plata SAFT-T,Tip Taxa SAF_T,Cod TAXA SAF_T,Explicatie,Valoare,Cod Partener,Partener CIF,Partener Nume,Partener Rezidenta,Partener Judet,Partener Cont,Angajat CNP,Angajat Nume,Angajat Cont,Optiune TVA,Cota TVA,Cod TVA SAF-T,Moneda,Curs,Valoare deviza,Stornare - Nr. inreg.,Incasari/plati,Diferente curs,TVA la incasare,Colectare/Deducere TVA,Efect de incasat/platit,Banca efect,Centre de cost,Informatii export,Punct de lucru,Deductibilitate,Reevaluare,Factura simplificata,Borderou de achizitie,Carnet prod. Agricole,Contract,Document stornat
,CASA,RC,20251103,20251103,64,,5311,,,,,,51131,,,,,,CARD,-865.9,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251104,20251104,65,,5311,,,,,,51131,,,,,,CARD,-641.48,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251105,20251105,66,,5311,,,,,,51131,,,,,,CARD,-630.99,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251106,20251106,67,,5311,,,,,,51131,,,,,,CARD,-736.07,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251107,20251107,68,,5311,,,,,,51131,,,,,,CARD,-479.62,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251110,20251110,69,,5311,,,,,,51131,,,,,,CARD,-716.04,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251111,20251111,70,,5311,,,,,,51131,,,,,,CARD,-955.26,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251112,20251112,71,,5311,,,,,,51131,,,,,,CARD,-749.56,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251113,20251113,72,,5311,,,,,,51131,,,,,,CARD,-1246.23,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251114,20251114,73,,5311,,,,,,51131,,,,,,CARD,-991.46,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251117,20251117,74,,5311,,,,,,51131,,,,,,CARD,-717.34,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251118,20251118,75,,5311,,,,,,51131,,,,,,CARD,-582.91,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251119,20251119,76,,5311,,,,,,51131,,,,,,CARD,-902.84,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251120,20251120,77,,5311,,,,,,51131,,,,,,CARD,-578.18,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251121,20251121,78,,5311,,,,,,51131,,,,,,CARD,-876.89,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251124,20251124,79,,5311,,,,,,51131,,,,,,CARD,-460.61,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251125,20251125,80,,5311,,,,,,51131,,,,,,CARD,-895.13,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
,CASA,RC,20251126,20251126,81,,5311,,,,,,51131,,,,,,CARD,-846.27,,,,,,,,,,0,,,,,,,,,,,,,,20250101-20251231-CielStd_1057,Fast Food 2,0,0,0,0,0,0,0
