Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM1 0012,710,1,,20251001,20251001,380,,,,,,,,,,,,,,,,,,13210.13,2774.13,20052.14,,0,5125,20052.14,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,15984.259999999998,13210.13,2774.13,15984.259999999998,Taxabile,21,310352,,
BFM1 0012,711,1,,20251002,20251002,380,,,,,,,,,,,,,,,,,,14130.83,2967.48,20205.93,,0,5125,20205.93,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,17098.31,14130.83,2967.48,17098.31,Taxabile,21,310352,,
BFM1 0012,712,1,,20251003,20251003,380,,,,,,,,,,,,,,,,,,13461.11,2826.83,20345.15,,0,5125,20345.15,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,16287.94,13461.11,2826.83,16287.94,Taxabile,21,310352,,
BFM1 0012,713,1,,20251004,20251004,380,,,,,,,,,,,,,,,,,,9881.63,2075.14,15020.5,,0,5125,15020.5,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,11956.769999999999,9881.63,2075.14,11956.769999999999,Taxabile,21,310352,,
BFM1 0012,714,1,,20251005,20251005,380,,,,,,,,,,,,,,,,,,8289.88,1740.88,12517.87,,0,5125,12517.87,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,10030.759999999998,8289.88,1740.88,10030.759999999998,Taxabile,21,310352,,
BFM1 0012,715,1,,20251006,20251006,380,,,,,,,,,,,,,,,,,,12094.64,2539.88,18125.4,,0,5125,18125.4,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,14634.52,12094.64,2539.88,14634.52,Taxabile,21,310352,,
BFM1 0012,716,1,,20251007,20251007,380,,,,,,,,,,,,,,,,,,10935.69,2296.49,17108.98,,0,5125,17108.98,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,13232.18,10935.69,2296.49,13232.18,Taxabile,21,310352,,
BFM1 0012,717,1,,20251008,20251008,380,,,,,,,,,,,,,,,,,,10880.28,2284.86,17004.54,,0,5125,17004.54,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,13165.140000000001,10880.28,2284.86,13165.140000000001,Taxabile,21,310352,,
BFM1 0012,718,1,,20251009,20251009,380,,,,,,,,,,,,,,,,,,10629.67,2232.23,16589.6,,0,5125,16589.6,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,12861.9,10629.67,2232.23,12861.9,Taxabile,21,310352,,
BFM1 0012,719,1,,20251010,20251010,380,,,,,,,,,,,,,,,,,,14919.22,3133.04,22304.93,,0,5125,22304.93,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,18052.26,14919.22,3133.04,18052.26,Taxabile,21,310352,,
