Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1.0,Z POS,160.0,2025-10-01,Z emis la POS nr.1 inchiderea 3576,16622.48,0,0,81.2,17.05,14886.69,1637.54,0,0,0,0,0,0,0
2.0,Z POS,161.0,2025-10-02,Z emis la POS nr.1 inchiderea 3577,17504.28,0,0,66.53,13.97,15697.1,1726.68,0,0,0,0,0,0,0
3.0,Z POS,162.0,2025-10-03,Z emis la POS nr.1 inchiderea 3578,23708.7,0,0,102.27,21.48,21247.7,2337.25,0,0,0,0,0,0,0
4.0,Z POS,163.0,2025-10-04,Z emis la POS nr.1 inchiderea 3579,30418.87,0,0,118.18,24.82,27275.56,3000.31,0,0,0,0,0,0,0
5.0,Z POS,164.0,2025-10-05,Z emis la POS nr.1 inchiderea 3580,27472.83,0,0,106.82,22.43,24633.86,2709.72,0,0,0,0,0,0,0
6.0,Z POS,165.0,2025-10-06,Z emis la POS nr.1 inchiderea 3581,11902.06,0,0,43.39,9.11,10675.28,1174.28,0,0,0,0,0,0,0
7.0,Z POS,166.0,2025-10-07,Z emis la POS nr.1 inchiderea 3582,8665.21,0,0,39.88,8.37,7763.03,853.93,0,0,0,0,0,0,0
8.0,Z POS,167.0,2025-10-08,Z emis la POS nr.1 inchiderea 3583,12990.95,0,0,55.37,11.63,11643.2,1280.75,0,0,0,0,0,0,0
9.0,Z POS,168.0,2025-10-09,Z emis la POS nr.1 inchiderea 3584,14523.94,0,0,59.92,12.58,13019.32,1432.12,0,0,0,0,0,0,0
10.0,Z POS,169.0,2025-10-10,Z emis la POS nr.1 inchiderea 3585,22864.13,0,0,87.19,18.31,20503.27,2255.36,0,0,0,0,0,0,0
11.0,Z POS,170.0,2025-10-11,Z emis la POS nr.1 inchiderea 3586,36999.18,0,0,135.12,28.38,33185.3,3650.38,0,0,0,0,0,0,0
12.0,Z POS,171.0,2025-10-12,Z emis la POS nr.1 inchiderea 3587,27176.51,0,0,147.11,30.89,24322.98,2675.53,0,0,0,0,0,0,0
13.0,Z POS,172.0,2025-10-13,Z emis la POS nr.1 inchiderea 3588,2557.97,0,0,9.92,2.08,2293.67,252.3,0,0,0,0,0,0,0
14.0,Z POS,173.0,2025-10-13,Z emis la POS nr.1 inchiderea 3589,9261.72,0,0,44.01,9.24,8295.92,912.55,0,0,0,0,0,0,0
15.0,Z POS,174.0,2025-10-14,Z emis la POS nr.1 inchiderea 3590,16436.6,0,0,77.69,16.31,14723.06,1619.54,0,0,0,0,0,0,0
16.0,Z POS,175.0,2025-10-15,Z emis la POS nr.1 inchiderea 3591,13483.94,0,0,58.06,12.19,12084.41,1329.28,0,0,0,0,0,0,0
17.0,Z POS,176.0,2025-10-16,Z emis la POS nr.1 inchiderea 3592,16218.01,0,0,73.76,15.49,14530.41,1598.35,0,0,0,0,0,0,0
18.0,Z POS,177.0,2025-10-17,Z emis la POS nr.1 inchiderea 3593,27275.4,0,0,104.34,21.91,24458.69,2690.46,0,0,0,0,0,0,0
19.0,Z POS,178.0,2025-10-18,Z emis la POS nr.1 inchiderea 3594,31549.04,0,0,129.96,27.29,28280.89,3110.9,0,0,0,0,0,0,0
20.0,Z POS,179.0,2025-10-19,Z emis la POS nr.1 inchiderea 3595,27447.85,0,0,107.23,22.52,24610.9,2707.2,0,0,0,0,0,0,0
21.0,Z POS,180.0,2025-10-20,Z emis la POS nr.1 inchiderea 3596,12682.75,0,0,65.91,13.84,11354.05,1248.95,0,0,0,0,0,0,0
22.0,Z POS,181.0,2025-10-21,Z emis la POS nr.1 inchiderea 3597,12816.77,0,0,48.35,10.15,11493.94,1264.33,0,0,0,0,0,0,0
23.0,Z POS,182.0,2025-10-22,Z emis la POS nr.1 inchiderea 3598,10485.39,0,0,40.29,8.46,9402.38,1034.26,0,0,0,0,0,0,0
24.0,Z POS,183.0,2025-10-23,Z emis la POS nr.1 inchiderea 3599,15125.75,0,0,61.16,12.84,13560.14,1491.61,0,0,0,0,0,0,0
25.0,Z POS,184.0,2025-10-24,Z emis la POS nr.1 inchiderea 3600,23480.48,0,0,89.67,18.83,21055.84,2316.14,0,0,0,0,0,0,0
26.0,Z POS,185.0,2025-10-25,Z emis la POS nr.1 inchiderea 3601,35845.06,0,0,135.74,28.51,32144.87,3535.94,0,0,0,0,0,0,0
27.0,Z POS,186.0,2025-10-26,Z emis la POS nr.1 inchiderea 3602,26973.99,0,0,141.32,29.68,24146.84,2656.15,0,0,0,0,0,0,0
28.0,Z POS,187.0,2025-10-27,Z emis la POS nr.1 inchiderea 3603,13157.12,0,0,64.05,13.45,11783.44,1296.18,0,0,0,0,0,0,0
29.0,Z POS,188.0,2025-10-28,Z emis la POS nr.1 inchiderea 3604,11680.58,0,0,62.81,13.19,10454.58,1150.0,0,0,0,0,0,0,0
30.0,Z POS,189.0,2025-10-29,Z emis la POS nr.1 inchiderea 3605,13261.23,0,0,40.7,8.55,11902.68,1309.3,0,0,0,0,0,0,0
31.0,Z POS,190.0,2025-10-30,Z emis la POS nr.1 inchiderea 3606,19750.35,0,0,73.97,15.53,17712.48,1948.37,0,0,0,0,0,0,0
32.0,Z POS,191.0,2025-10-31,Z emis la POS nr.1 inchiderea 3607,24269.81,0,0,94.01,19.74,21762.22,2393.84,0,0,0,0,0,0,0
