Nr. Crt,Documentul,Unnamed: 2,Unnamed: 3,Unnamed: 4,Explicatii,Vanzari (Incasari),Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,Denumire,Nr. Doc(Z),Data,,,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,,0.21,Taxabile,,0.11,Nefolosit,,Nefolosit,,Netaxabil,,,0.0
,,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1,Z POS,41,2025-10-01 00:00:00,Z emis la POS nr.1 inchiderea 40,,2405.75,0,0,12.4,2.6,,2151.58,236.67,,0,0,0,0,2.5,0,,
2,Z POS,42,2025-10-02 00:00:00,Z emis la POS nr.1 inchiderea 41,,2423.27,0,0,11.16,2.34,,2170.06,238.71,,0,0,0,0,1,0,,
3,Z POS,43,2025-10-03 00:00:00,Z emis la POS nr.1 inchiderea 42,,1787.89,0,0,19.01,3.99,,1588.64,174.75,,0,0,0,0,1.5,0,,
4,Z POS,44,2025-10-06 00:00:00,Z emis la POS nr.1 inchiderea 43,,2917.16,0,0,69.01,14.49,,2547.89,280.27,,0,0,0,0,5.5,0,,
5,Z POS,45,2025-10-07 00:00:00,Z emis la POS nr.1 inchiderea 44,,2685.36,0,0,65.7,13.8,,2344.02,257.84,,0,0,0,0,4,0,,
6,Z POS,46,2025-10-08 00:00:00,Z emis la POS nr.1 inchiderea 45,,2733.95,0,0,38.84,8.16,,2419.32,266.13,,0,0,0,0,1.5,0,,
7,Z POS,47,2025-10-09 00:00:00,Z emis la POS nr.1 inchiderea 46,,2822.17,0,0,54.96,11.54,,2478.53,272.64,,0,0,0,0,4.5,0,,
8,Z POS,48,2025-10-10 00:00:00,Z emis la POS nr.1 inchiderea 47,,3245.61,0,0,75.21,15.79,,2837.04,312.07,,0,0,0,0,5.5,0,,
9,Z POS,49,2025-10-13 00:00:00,Z emis la POS nr.1 inchiderea 48,,1658.19,0,0,52.48,11.02,,1431.7,157.49,,0,0,0,0,5.5,0,,
10,Z POS,50,2025-10-14 00:00:00,Z emis la POS nr.1 inchiderea 49,,3461.12,0,0,56.61,11.89,,3052.36,335.76,,0,0,0,0,4.5,0,,
11,Z POS,51,2025-10-15 00:00:00,Z emis la POS nr.1 inchiderea 50,,2335.82,0,0,47.11,9.89,,2048.94,225.38,,0,0,0,0,4.5,0,,
12,Z POS,52,2025-10-16 00:00:00,Z emis la POS nr.1 inchiderea 51,,2237.27,0,0,15.7,3.3,,1996.19,219.58,,0,0,0,0,2.5,0,,
13,Z POS,53,2025-10-17 00:00:00,Z emis la POS nr.1 inchiderea 52,,2850.26,0,0,12.81,2.69,,2551.59,280.67,,0,0,0,0,2.5,0,,
14,Z POS,54,2025-10-20 00:00:00,Z emis la POS nr.1 inchiderea 53,,2562.53,0,0,53.31,11.19,,2246.87,247.16,,0,0,0,0,4,0,,
15,Z POS,55,2025-10-21 00:00:00,Z emis la POS nr.1 inchiderea 54,,2974.78,0,0,27.27,5.73,,2648,291.28,,0,0,0,0,2.5,0,,
16,Z POS,56,2025-10-22 00:00:00,Z emis la POS nr.1 inchiderea 55,,3655.55,0,0,66.94,14.06,,3215.81,353.74,,0,0,0,0,5,0,,
17,Z POS,57,2025-10-23 00:00:00,Z emis la POS nr.1 inchiderea 56,,2880.07,0,0,42.98,9.02,,2545.11,279.96,,0,0,0,0,3,0,,
18,Z POS,58,2025-10-24 00:00:00,Z emis la POS nr.1 inchiderea 57,,3186.56,0,0,42.98,9.02,,2820.32,310.24,,0,0,0,0,4,0,,
19,Z POS,59,2025-10-27 00:00:00,Z emis la POS nr.1 inchiderea 58,,1990.96,0,0,26.86,5.64,,1762.13,193.83,,0,0,0,0,2.5,0,,
20,Z POS,60,2025-10-28 00:00:00,Z emis la POS nr.1 inchiderea 59,,2257.68,0,0,31.4,6.6,,1997.01,219.67,,0,0,0,0,3,0,,
21,Z POS,61,2025-10-29 00:00:00,Z emis la POS nr.1 inchiderea 60,,2599.68,0,0,41.32,8.68,,2295.21,252.47,,0,0,0,0,2,0,,
22,Z POS,62,2025-10-30 00:00:00,Z emis la POS nr.1 inchiderea 61,,2857.56,0,0,86.36,18.14,,2473.48,272.08,,0,0,0,0,7.5,0,,
23,Z POS,63,2025-10-31 00:00:00,Z emis la POS nr.1 inchiderea 62,,3514.12,0,0,44.21,9.29,,3114.52,342.6,,0,0,0,0,3.5,0,,
"TOTAL GENERAL :             62,043.31           0                    0              994.63             208.87     54,736.32    6,020.99                     0                 0                  0                0               82.5                0",,,,,,,,,,,,,,,,,,,,,,
