Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM2 103,179,2,,20251001,20251001,380,,,,,,,,,,,,,,,,,,8428.91,1770.07,21327.03,,0,5125,21327.03,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10198.98,8428.91,1770.07,10198.98,Taxabile,21,310352,,
BFM2 103,180,2,,20251002,20251002,380,,,,,,,,,,,,,,,,,,7960.56,1671.72,19021.1,,0,5125,19021.1,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9632.28,7960.56,1671.72,9632.28,Taxabile,21,310352,,
BFM2 103,181,2,,20251003,20251003,380,,,,,,,,,,,,,,,,,,8289.11,1740.71,20454.73,,0,5125,20454.73,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10029.82,8289.11,1740.71,10029.82,Taxabile,21,310352,,
BFM2 103,182,2,,20251004,20251004,380,,,,,,,,,,,,,,,,,,7203.3,1512.69,19025.62,,0,5125,19025.62,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,8715.99,7203.3,1512.69,8715.99,Taxabile,21,310352,,
BFM2 103,183,2,,20251005,20251005,380,,,,,,,,,,,,,,,,,,9141.17,1919.65,19299.82,,0,5125,19299.82,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11060.82,9141.17,1919.65,11060.82,Taxabile,21,310352,,
BFM2 103,184,2,,20251006,20251006,380,,,,,,,,,,,,,,,,,,8558.39,1797.26,20039.06,,0,5125,20039.06,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10355.65,8558.39,1797.26,10355.65,Taxabile,21,310352,,
BFM2 103,185,2,,20251007,20251007,380,,,,,,,,,,,,,,,,,,9374.58,1968.66,22805.07,,0,5125,22805.07,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11343.24,9374.58,1968.66,11343.24,Taxabile,21,310352,,
BFM2 103,186,2,,20251008,20251008,380,,,,,,,,,,,,,,,,,,7922.08,1663.64,19983.89,,0,5125,19983.89,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9585.72,7922.08,1663.64,9585.72,Taxabile,21,310352,,
BFM2 103,187,2,,20251009,20251009,380,,,,,,,,,,,,,,,,,,9439.31,1982.26,21632.8,,0,5125,21632.8,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11421.57,9439.31,1982.26,11421.57,Taxabile,21,310352,,
BFM2 103,188,2,,20251010,20251010,380,,,,,,,,,,,,,,,,,,8911.97,1871.51,22073.86,,0,5125,22073.86,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10783.48,8911.97,1871.51,10783.48,Taxabile,21,310352,,
BFM2 103,189,2,,20251011,20251011,380,,,,,,,,,,,,,,,,,,10597.76,2225.53,23863.67,,0,5125,23863.67,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12823.29,10597.76,2225.53,12823.29,Taxabile,21,310352,,
BFM2 103,190,2,,20251012,20251012,380,,,,,,,,,,,,,,,,,,8283.26,1739.49,18659.67,,0,5125,18659.67,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10022.75,8283.26,1739.49,10022.75,Taxabile,21,310352,,
BFM2 103,191,2,,20251013,20251013,380,,,,,,,,,,,,,,,,,,11829.77,2484.25,24980.21,,0,5125,24980.21,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,14314.02,11829.77,2484.25,14314.02,Taxabile,21,310352,,
BFM2 103,192,2,,20251014,20251014,380,,,,,,,,,,,,,,,,,,9234.15,1939.17,20987.45,,0,5125,20987.45,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11173.32,9234.15,1939.17,11173.32,Taxabile,21,310352,,
BFM2 103,193,2,,20251015,20251015,380,,,,,,,,,,,,,,,,,,8702.96,1827.62,21247.03,,0,5125,21247.03,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10530.579999999998,8702.96,1827.62,10530.579999999998,Taxabile,21,310352,,
BFM2 103,194,2,,20251016,20251016,380,,,,,,,,,,,,,,,,,,8324.71,1748.19,20770.58,,0,5125,20770.58,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10072.9,8324.71,1748.19,10072.9,Taxabile,21,310352,,
BFM2 103,195,2,,20251017,20251017,380,,,,,,,,,,,,,,,,,,10329.06,2169.1,26895.4,,0,5125,26895.4,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12498.16,10329.06,2169.1,12498.16,Taxabile,21,310352,,
BFM2 103,196,2,,20251018,20251018,380,,,,,,,,,,,,,,,,,,9125.55,1916.36,21495.05,,0,5125,21495.05,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11041.91,9125.55,1916.36,11041.91,Taxabile,21,310352,,
BFM2 103,197,2,,20251019,20251019,380,,,,,,,,,,,,,,,,,,7624.84,1601.22,17537.45,,0,5125,17537.45,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9226.06,7624.84,1601.22,9226.06,Taxabile,21,310352,,
BFM2 103,198,2,,20251020,20251020,380,,,,,,,,,,,,,,,,,,8875.96,1863.95,20530.41,,0,5125,20530.41,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10739.91,8875.96,1863.95,10739.91,Taxabile,21,310352,,
BFM2 103,199,2,,20251021,20251021,380,,,,,,,,,,,,,,,,,,8767.71,1841.22,20518.77,,0,5125,20518.77,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10608.929999999998,8767.71,1841.22,10608.929999999998,Taxabile,21,310352,,
BFM2 103,200,2,,20251022,20251022,380,,,,,,,,,,,,,,,,,,9322.17,1957.66,21918.25,,0,5125,21918.25,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11279.83,9322.17,1957.66,11279.83,Taxabile,21,310352,,
BFM2 103,201,2,,20251023,20251023,380,,,,,,,,,,,,,,,,,,10068.87,2114.46,21928.28,,0,5125,21928.28,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12183.330000000002,10068.87,2114.46,12183.330000000002,Taxabile,21,310352,,
BFM2 103,202,2,,20251024,20251024,380,,,,,,,,,,,,,,,,,,9592.8,2014.49,24073.61,,0,5125,24073.61,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11607.289999999999,9592.8,2014.49,11607.289999999999,Taxabile,21,310352,,
BFM2 103,203,2,,20251025,20251025,380,,,,,,,,,,,,,,,,,,9906.38,2080.34,23890.09,,0,5125,23890.09,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11986.72,9906.38,2080.34,11986.72,Taxabile,21,310352,,
BFM2 103,204,2,,20251026,20251026,380,,,,,,,,,,,,,,,,,,8933.44,1876.02,18528.41,,0,5125,18528.41,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10809.460000000001,8933.44,1876.02,10809.460000000001,Taxabile,21,310352,,
BFM2 103,205,2,,20251027,20251027,380,,,,,,,,,,,,,,,,,,9386.19,1971.1,20063.28,,0,5125,20063.28,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11357.29,9386.19,1971.1,11357.29,Taxabile,21,310352,,
BFM2 103,206,2,,20251028,20251028,380,,,,,,,,,,,,,,,,,,8743.84,1836.21,19005.11,,0,5125,19005.11,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10580.05,8743.84,1836.21,10580.05,Taxabile,21,310352,,
BFM2 103,207,2,,20251029,20251029,380,,,,,,,,,,,,,,,,,,8857.7,1860.12,20497.77,,0,5125,20497.77,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10717.82,8857.7,1860.12,10717.82,Taxabile,21,310352,,
BFM2 103,208,2,,20251030,20251030,380,,,,,,,,,,,,,,,,,,8600.92,1806.19,22002.87,,0,5125,22002.87,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10407.11,8600.92,1806.19,10407.11,Taxabile,21,310352,,
BFM2 103,209,2,,20251031,20251031,380,,,,,,,,,,,,,,,,,,9152.82,1922.09,23057.85,,0,5125,23057.85,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11074.91,9152.82,1922.09,11074.91,Taxabile,21,310352,,
BFM2 103,179,2,,20251001,20251001,380,,,,,,,,,,,,,,,,,,10025.27,1102.78,21327.03,,0,5125,21327.03,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,11128.050000000001,10025.27,1102.78,11128.050000000001,Taxabile,11,310351,,
BFM2 103,180,2,,20251002,20251002,380,,,,,,,,,,,,,,,,,,8458.4,930.42,19021.1,,0,5125,19021.1,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,9388.82,8458.4,930.42,9388.82,Taxabile,11,310351,,
BFM2 103,181,2,,20251003,20251003,380,,,,,,,,,,,,,,,,,,9391.81,1033.1,20454.73,,0,5125,20454.73,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,10424.91,9391.81,1033.1,10424.91,Taxabile,11,310351,,
BFM2 103,182,2,,20251004,20251004,380,,,,,,,,,,,,,,,,,,9287.95,1021.68,19025.62,,0,5125,19025.62,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,10309.630000000001,9287.95,1021.68,10309.630000000001,Taxabile,11,310351,,
BFM2 103,183,2,,20251005,20251005,380,,,,,,,,,,,,,,,,,,7422.52,816.48,19299.82,,0,5125,19299.82,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,8239.0,7422.52,816.48,8239.0,Taxabile,11,310351,,
BFM2 103,184,2,,20251006,20251006,380,,,,,,,,,,,,,,,,,,8723.79,959.62,20039.06,,0,5125,20039.06,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,9683.410000000002,8723.79,959.62,9683.410000000002,Taxabile,11,310351,,
BFM2 103,185,2,,20251007,20251007,380,,,,,,,,,,,,,,,,,,10325.97,1135.86,22805.07,,0,5125,22805.07,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,11461.83,10325.97,1135.86,11461.83,Taxabile,11,310351,,
BFM2 103,186,2,,20251008,20251008,380,,,,,,,,,,,,,,,,,,9367.72,1030.45,19983.89,,0,5125,19983.89,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,10398.17,9367.72,1030.45,10398.17,Taxabile,11,310351,,
