Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
F,41,3,,20251001,20251001,380,,,,,,,,,,,,,,,,,,12.4,2.6,2403.25,,0,5125,2403.25,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,15.0,12.4,2.6,15.0,Taxabile,21,310344,,
F,42,3,,20251002,20251002,380,,,,,,,,,,,,,,,,,,11.16,2.34,2422.27,,0,5125,2422.27,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,13.5,11.16,2.34,13.5,Taxabile,21,310344,,
F,43,3,,20251003,20251003,380,,,,,,,,,,,,,,,,,,19.01,3.99,1786.39,,0,5125,1786.39,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,23.0,19.01,3.99,23.0,Taxabile,21,310344,,
F,44,3,,20251006,20251006,380,,,,,,,,,,,,,,,,,,69.01,14.49,2911.66,,0,5125,2911.66,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,83.5,69.01,14.49,83.5,Taxabile,21,310344,,
F,45,3,,20251007,20251007,380,,,,,,,,,,,,,,,,,,65.7,13.8,2681.36,,0,5125,2681.36,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,79.5,65.7,13.8,79.5,Taxabile,21,310344,,
F,46,3,,20251008,20251008,380,,,,,,,,,,,,,,,,,,38.84,8.16,2732.45,,0,5125,2732.45,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,47.0,38.84,8.16,47.0,Taxabile,21,310344,,
F,47,3,,20251009,20251009,380,,,,,,,,,,,,,,,,,,54.96,11.54,2817.67,,0,5125,2817.67,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,66.5,54.96,11.54,66.5,Taxabile,21,310344,,
F,48,3,,20251010,20251010,380,,,,,,,,,,,,,,,,,,75.21,15.79,3240.11,,0,5125,3240.11,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,91.0,75.21,15.79,91.0,Taxabile,21,310344,,
F,49,3,,20251013,20251013,380,,,,,,,,,,,,,,,,,,52.48,11.02,1652.69,,0,5125,1652.69,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,63.5,52.48,11.02,63.5,Taxabile,21,310344,,
F,50,3,,20251014,20251014,380,,,,,,,,,,,,,,,,,,56.61,11.89,3456.62,,0,5125,3456.62,5311,0,5328,4427,FF 2 21%,,FF 2,1,,,,,,68.5,56.61,11.89,68.5,Taxabile,21,310344,,
