Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM3,160,3,,20251001,20251001,380,,,,,,,,,,,,,,,,,,81.2,17.05,16622.48,,0,5125,16622.48,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,98.25,81.2,17.05,98.25,Taxabile,21,310344,,
BFM3,161,3,,20251002,20251002,380,,,,,,,,,,,,,,,,,,66.53,13.97,17504.28,,0,5125,17504.28,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,80.5,66.53,13.97,80.5,Taxabile,21,310344,,
BFM3,162,3,,20251003,20251003,380,,,,,,,,,,,,,,,,,,102.27,21.48,23708.7,,0,5125,23708.7,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,123.75,102.27,21.48,123.75,Taxabile,21,310344,,
BFM3,163,3,,20251004,20251004,380,,,,,,,,,,,,,,,,,,118.18,24.82,30418.87,,0,5125,30418.87,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,143.0,118.18,24.82,143.0,Taxabile,21,310344,,
BFM3,164,3,,20251005,20251005,380,,,,,,,,,,,,,,,,,,106.82,22.43,27472.83,,0,5125,27472.83,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,129.25,106.82,22.43,129.25,Taxabile,21,310344,,
BFM3,165,3,,20251006,20251006,380,,,,,,,,,,,,,,,,,,43.39,9.11,11902.06,,0,5125,11902.06,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,52.5,43.39,9.11,52.5,Taxabile,21,310344,,
BFM3,166,3,,20251007,20251007,380,,,,,,,,,,,,,,,,,,39.88,8.37,8665.21,,0,5125,8665.21,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,48.25,39.88,8.37,48.25,Taxabile,21,310344,,
BFM3,167,3,,20251008,20251008,380,,,,,,,,,,,,,,,,,,55.37,11.63,12990.95,,0,5125,12990.95,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,67.0,55.37,11.63,67.0,Taxabile,21,310344,,
BFM3,168,3,,20251009,20251009,380,,,,,,,,,,,,,,,,,,59.92,12.58,14523.94,,0,5125,14523.94,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,72.5,59.92,12.58,72.5,Taxabile,21,310344,,
BFM3,169,3,,20251010,20251010,380,,,,,,,,,,,,,,,,,,87.19,18.31,22864.13,,0,5125,22864.13,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,105.5,87.19,18.31,105.5,Taxabile,21,310344,,
BFM3,170,3,,20251011,20251011,380,,,,,,,,,,,,,,,,,,135.12,28.38,36999.18,,0,5125,36999.18,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,163.5,135.12,28.38,163.5,Taxabile,21,310344,,
BFM3,171,3,,20251012,20251012,380,,,,,,,,,,,,,,,,,,147.11,30.89,27176.51,,0,5125,27176.51,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,178.0,147.11,30.89,178.0,Taxabile,21,310344,,
BFM3,172,3,,20251013,20251013,380,,,,,,,,,,,,,,,,,,9.92,2.08,2557.97,,0,5125,2557.97,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,12.0,9.92,2.08,12.0,Taxabile,21,310344,,
BFM3,173,3,,20251013,20251013,380,,,,,,,,,,,,,,,,,,44.01,9.24,9261.72,,0,5125,9261.72,5311,0,5328,4427,marfa m3  21%,,marfa m3 ,1,,,,,,53.25,44.01,9.24,53.25,Taxabile,21,310344,,
