Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM1 0014,1501,1,,20250801,20250801,380,,,,,,,,,,,,,,,,,,1580.22,331.85,5612.3,,0,5125,5612.3,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,1912.0700000000002,1580.22,331.85,1912.0700000000002,Taxabile,21,310344,,
BFM1 0014,1502,1,,20250802,20250802,380,,,,,,,,,,,,,,,,,,1165.64,244.78,5709.63,,0,5125,5709.63,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,1410.42,1165.64,244.78,1410.42,Taxabile,21,310344,,
BFM1 0014,1503,1,,20250803,20250803,380,,,,,,,,,,,,,,,,,,1887.17,396.31,5460.52,,0,5125,5460.52,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,2283.48,1887.17,396.31,2283.48,Taxabile,21,310344,,
BFM1 0014,1504,1,,20250804,20250804,380,,,,,,,,,,,,,,,,,,1137.78,238.93,5470.96,,0,5125,5470.96,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,1376.71,1137.78,238.93,1376.71,Taxabile,21,310344,,
BFM1 0014,1505,1,,20250805,20250805,380,,,,,,,,,,,,,,,,,,1745.21,366.5,7485.96,,0,5125,7485.96,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,2111.71,1745.21,366.5,2111.71,Taxabile,21,310344,,
BFM1 0014,1506,1,,20250806,20250806,380,,,,,,,,,,,,,,,,,,2456.58,515.88,7318.67,,0,5125,7318.67,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,2972.46,2456.58,515.88,2972.46,Taxabile,21,310344,,
BFM1 0014,1507,1,,20250807,20250807,380,,,,,,,,,,,,,,,,,,1220.67,256.34,6244.8,,0,5125,6244.8,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,1477.01,1220.67,256.34,1477.01,Taxabile,21,310344,,
BFM1 0014,1508,1,,20250808,20250808,380,,,,,,,,,,,,,,,,,,1143.19,240.07,6815.1,,0,5125,6815.1,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,1383.26,1143.19,240.07,1383.26,Taxabile,21,310344,,
BFM1 0014,1509,1,,20250809,20250809,380,,,,,,,,,,,,,,,,,,1734.23,364.19,6457.3,,0,5125,6457.3,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,2098.42,1734.23,364.19,2098.42,Taxabile,21,310344,,
BFM1 0014,1510,1,,20250810,20250810,380,,,,,,,,,,,,,,,,,,2176.48,457.06,7436.52,,0,5125,7436.52,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,2633.54,2176.48,457.06,2633.54,Taxabile,21,310344,,
