Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM1 0012,649,1,,20250801,20250801,380,,,,,,,,,,,,,,,,,,15766.92,3311.05,23945.82,,0,5125,23945.82,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,19077.97,15766.92,3311.05,19077.97,Taxabile,21,310344,,
BFM1 0012,650,1,,20250802,20250802,380,,,,,,,,,,,,,,,,,,12895.47,2708.05,19398.81,,0,5125,19398.81,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,15603.52,12895.47,2708.05,15603.52,Taxabile,21,310344,,
BFM1 0012,651,1,,20250803,20250803,380,,,,,,,,,,,,,,,,,,12450.46,2614.6,18209.5,,0,5125,18209.5,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,15065.06,12450.46,2614.6,15065.06,Taxabile,21,310344,,
BFM1 0012,652,1,,20250804,20250804,380,,,,,,,,,,,,,,,,,,12391.36,2602.19,18236.11,,0,5125,18236.11,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,14993.550000000001,12391.36,2602.19,14993.550000000001,Taxabile,21,310344,,
BFM1 0012,653,1,,20250805,20250805,380,,,,,,,,,,,,,,,,,,16002.8,3360.59,22585.86,,0,5125,22585.86,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,19363.39,16002.8,3360.59,19363.39,Taxabile,21,310344,,
BFM1 0012,654,1,,20250806,20250806,380,,,,,,,,,,,,,,,,,,13396.83,2813.34,20190.4,,0,5125,20190.4,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,16210.17,13396.83,2813.34,16210.17,Taxabile,21,310344,,
BFM1 0012,655,1,,20250807,20250807,380,,,,,,,,,,,,,,,,,,14648.89,3076.27,21750.52,,0,5125,21750.52,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,17725.16,14648.89,3076.27,17725.16,Taxabile,21,310344,,
BFM1 0012,656,1,,20250808,20250808,380,,,,,,,,,,,,,,,,,,16701.41,3507.3,25161.92,,0,5125,25161.92,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,20208.71,16701.41,3507.3,20208.71,Taxabile,21,310344,,
BFM1 0012,657,1,,20250809,20250809,380,,,,,,,,,,,,,,,,,,12300.74,2583.16,18512.97,,0,5125,18512.97,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,14883.9,12300.74,2583.16,14883.9,Taxabile,21,310344,,
BFM1 0012,658,1,,20250810,20250810,380,,,,,,,,,,,,,,,,,,13432.64,2820.86,18941.44,,0,5125,18941.44,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,16253.5,13432.64,2820.86,16253.5,Taxabile,21,310344,,
BFM1 0012,659,1,,20250811,20250811,380,,,,,,,,,,,,,,,,,,16474.88,3459.72,25212.82,,0,5125,25212.82,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,19934.600000000002,16474.88,3459.72,19934.600000000002,Taxabile,21,310344,,
BFM1 0012,660,1,,20250812,20250812,380,,,,,,,,,,,,,,,,,,16102.5,3381.52,23796.52,,0,5125,23796.52,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,19484.02,16102.5,3381.52,19484.02,Taxabile,21,310344,,
BFM1 0012,661,1,,20250813,20250813,380,,,,,,,,,,,,,,,,,,15285.74,3210.0,22286.64,,0,5125,22286.64,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18495.739999999998,15285.74,3210.0,18495.739999999998,Taxabile,21,310344,,
BFM1 0012,662,1,,20250814,20250814,380,,,,,,,,,,,,,,,,,,17103.66,3591.77,25368.95,,0,5125,25368.95,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,20695.43,17103.66,3591.77,20695.43,Taxabile,21,310344,,
BFM1 0012,663,1,,20250815,20250815,380,,,,,,,,,,,,,,,,,,14303.05,3003.64,21423.79,,0,5125,21423.79,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,17306.69,14303.05,3003.64,17306.69,Taxabile,21,310344,,
BFM1 0012,664,1,,20250816,20250816,380,,,,,,,,,,,,,,,,,,13531.43,2841.6,20003.27,,0,5125,20003.27,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,16373.03,13531.43,2841.6,16373.03,Taxabile,21,310344,,
BFM1 0012,665,1,,20250817,20250817,380,,,,,,,,,,,,,,,,,,12032.62,2526.85,17969.98,,0,5125,17969.98,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,14559.470000000001,12032.62,2526.85,14559.470000000001,Taxabile,21,310344,,
BFM1 0012,666,1,,20250818,20250818,380,,,,,,,,,,,,,,,,,,15140.69,3179.54,22492.74,,0,5125,22492.74,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18320.23,15140.69,3179.54,18320.23,Taxabile,21,310344,,
BFM1 0012,667,1,,20250819,20250819,380,,,,,,,,,,,,,,,,,,13906.43,2920.35,19929.32,,0,5125,19929.32,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,16826.78,13906.43,2920.35,16826.78,Taxabile,21,310344,,
BFM1 0012,668,1,,20250820,20250820,380,,,,,,,,,,,,,,,,,,14999.74,3149.95,22461.52,,0,5125,22461.52,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18149.69,14999.74,3149.95,18149.69,Taxabile,21,310344,,
BFM1 0012,669,1,,20250821,20250821,380,,,,,,,,,,,,,,,,,,15701.26,3297.26,23229.55,,0,5125,23229.55,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18998.52,15701.26,3297.26,18998.52,Taxabile,21,310344,,
BFM1 0012,670,1,,20250822,20250822,380,,,,,,,,,,,,,,,,,,15054.12,3161.36,22006.29,,0,5125,22006.29,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18215.48,15054.12,3161.36,18215.48,Taxabile,21,310344,,
BFM1 0012,671,1,,20250823,20250823,380,,,,,,,,,,,,,,,,,,13933.0,2925.93,19840.45,,0,5125,19840.45,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,16858.93,13933.0,2925.93,16858.93,Taxabile,21,310344,,
BFM1 0012,672,1,,20250824,20250824,380,,,,,,,,,,,,,,,,,,10666.24,2239.91,15765.79,,0,5125,15765.79,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,12906.15,10666.24,2239.91,12906.15,Taxabile,21,310344,,
BFM1 0012,673,1,,20250825,20250825,380,,,,,,,,,,,,,,,,,,14961.26,3141.86,21644.19,,0,5125,21644.19,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18103.12,14961.26,3141.86,18103.12,Taxabile,21,310344,,
BFM1 0012,674,1,,20250826,20250826,380,,,,,,,,,,,,,,,,,,15413.73,3236.88,22247.14,,0,5125,22247.14,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18650.61,15413.73,3236.88,18650.61,Taxabile,21,310344,,
BFM1 0012,675,1,,20250827,20250827,380,,,,,,,,,,,,,,,,,,14104.67,2961.98,21051.85,,0,5125,21051.85,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,17066.65,14104.67,2961.98,17066.65,Taxabile,21,310344,,
BFM1 0012,676,1,,20250828,20250828,380,,,,,,,,,,,,,,,,,,13739.93,2885.39,20869.77,,0,5125,20869.77,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,16625.32,13739.93,2885.39,16625.32,Taxabile,21,310344,,
BFM1 0012,677,1,,20250829,20250829,380,,,,,,,,,,,,,,,,,,15944.6,3348.36,23284.49,,0,5125,23284.49,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,19292.96,15944.6,3348.36,19292.96,Taxabile,21,310344,,
BFM1 0012,678,1,,20250830,20250830,380,,,,,,,,,,,,,,,,,,15452.29,3244.98,22541.65,,0,5125,22541.65,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,18697.27,15452.29,3244.98,18697.27,Taxabile,21,310344,,
BFM1 0012,679,1,,20250831,20250831,380,,,,,,,,,,,,,,,,,,11607.47,2437.57,16744.06,,0,5125,16744.06,53111,0,5328,4427,marfa m1 21%,,,1,,,,,,14045.039999999999,11607.47,2437.57,14045.039999999999,Taxabile,21,310344,,
BFM1 0012,649,1,,20250801,20250801,380,,,,,,,,,,,,,,,,,,4385.45,482.4,23945.82,,0,5125,23945.82,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,4867.849999999999,4385.45,482.4,4867.849999999999,Taxabile,11,310351,,
BFM1 0012,650,1,,20250802,20250802,380,,,,,,,,,,,,,,,,,,3419.18,376.11,19398.81,,0,5125,19398.81,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3795.29,3419.18,376.11,3795.29,Taxabile,11,310351,,
BFM1 0012,651,1,,20250803,20250803,380,,,,,,,,,,,,,,,,,,2832.83,311.61,18209.5,,0,5125,18209.5,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3144.44,2832.83,311.61,3144.44,Taxabile,11,310351,,
BFM1 0012,652,1,,20250804,20250804,380,,,,,,,,,,,,,,,,,,2921.23,321.33,18236.11,,0,5125,18236.11,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3242.56,2921.23,321.33,3242.56,Taxabile,11,310351,,
BFM1 0012,653,1,,20250805,20250805,380,,,,,,,,,,,,,,,,,,2903.13,319.34,22585.86,,0,5125,22585.86,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3222.4700000000003,2903.13,319.34,3222.4700000000003,Taxabile,11,310351,,
BFM1 0012,654,1,,20250806,20250806,380,,,,,,,,,,,,,,,,,,3585.79,394.44,20190.4,,0,5125,20190.4,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3980.23,3585.79,394.44,3980.23,Taxabile,11,310351,,
BFM1 0012,655,1,,20250807,20250807,380,,,,,,,,,,,,,,,,,,3626.45,398.91,21750.52,,0,5125,21750.52,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,4025.3599999999997,3626.45,398.91,4025.3599999999997,Taxabile,11,310351,,
BFM1 0012,656,1,,20250808,20250808,380,,,,,,,,,,,,,,,,,,4462.35,490.86,25161.92,,0,5125,25161.92,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,4953.21,4462.35,490.86,4953.21,Taxabile,11,310351,,
BFM1 0012,657,1,,20250809,20250809,380,,,,,,,,,,,,,,,,,,3269.43,359.64,18512.97,,0,5125,18512.97,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3629.0699999999997,3269.43,359.64,3629.0699999999997,Taxabile,11,310351,,
BFM1 0012,658,1,,20250810,20250810,380,,,,,,,,,,,,,,,,,,2421.57,266.37,18941.44,,0,5125,18941.44,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,2687.94,2421.57,266.37,2687.94,Taxabile,11,310351,,
BFM1 0012,659,1,,20250811,20250811,380,,,,,,,,,,,,,,,,,,4755.15,523.07,25212.82,,0,5125,25212.82,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,5278.219999999999,4755.15,523.07,5278.219999999999,Taxabile,11,310351,,
BFM1 0012,660,1,,20250812,20250812,380,,,,,,,,,,,,,,,,,,3885.14,427.36,23796.52,,0,5125,23796.52,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,4312.5,3885.14,427.36,4312.5,Taxabile,11,310351,,
BFM1 0012,661,1,,20250813,20250813,380,,,,,,,,,,,,,,,,,,3415.23,375.67,22286.64,,0,5125,22286.64,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3790.9,3415.23,375.67,3790.9,Taxabile,11,310351,,
BFM1 0012,662,1,,20250814,20250814,380,,,,,,,,,,,,,,,,,,4210.38,463.14,25368.95,,0,5125,25368.95,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,4673.52,4210.38,463.14,4673.52,Taxabile,11,310351,,
BFM1 0012,663,1,,20250815,20250815,380,,,,,,,,,,,,,,,,,,3709.1,408.0,21423.79,,0,5125,21423.79,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,4117.1,3709.1,408.0,4117.1,Taxabile,11,310351,,
BFM1 0012,664,1,,20250816,20250816,380,,,,,,,,,,,,,,,,,,3270.49,359.75,20003.27,,0,5125,20003.27,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3630.24,3270.49,359.75,3630.24,Taxabile,11,310351,,
BFM1 0012,665,1,,20250817,20250817,380,,,,,,,,,,,,,,,,,,3072.53,337.98,17969.98,,0,5125,17969.98,53111,0,5328,4427,marfa m1 11%,,,1,,,,,,3410.51,3072.53,337.98,3410.51,Taxabile,11,310351,,
