Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM2 102,98,2,,20250801,20250801,380,,,,,,,,,,,,,,,,,,3924.37,824.12,10029.84,,0,5125,10029.84,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,4748.49,3924.37,824.12,4748.49,Taxabile,21,310344,,
BFM2 102,99,2,,20250802,20250802,380,,,,,,,,,,,,,,,,,,3636.39,763.64,10315.68,,0,5125,10315.68,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,4400.03,3636.39,763.64,4400.03,Taxabile,21,310344,,
BFM2 102,100,2,,20250803,20250803,380,,,,,,,,,,,,,,,,,,2156.12,452.78,5725.28,,0,5125,5725.28,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,2608.8999999999996,2156.12,452.78,2608.8999999999996,Taxabile,21,310344,,
BFM2 102,101,2,,20250804,20250804,380,,,,,,,,,,,,,,,,,,2788.8,585.65,6634.78,,0,5125,6634.78,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,3374.4500000000003,2788.8,585.65,3374.4500000000003,Taxabile,21,310344,,
BFM2 102,102,2,,20250805,20250805,380,,,,,,,,,,,,,,,,,,2542.31,533.89,7148.74,,0,5125,7148.74,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,3076.2,2542.31,533.89,3076.2,Taxabile,21,310344,,
BFM2 102,103,2,,20250806,20250806,380,,,,,,,,,,,,,,,,,,2362.9,496.21,6076.08,,0,5125,6076.08,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,2859.11,2362.9,496.21,2859.11,Taxabile,21,310344,,
BFM2 102,104,2,,20250807,20250807,380,,,,,,,,,,,,,,,,,,3211.5,674.42,8438.79,,0,5125,8438.79,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,3885.92,3211.5,674.42,3885.92,Taxabile,21,310344,,
BFM2 102,105,2,,20250808,20250808,380,,,,,,,,,,,,,,,,,,3020.4,634.29,7286.79,,0,5125,7286.79,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,3654.69,3020.4,634.29,3654.69,Taxabile,21,310344,,
BFM2 102,106,2,,20250809,20250809,380,,,,,,,,,,,,,,,,,,3728.7,783.03,10100.45,,0,5125,10100.45,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,4511.73,3728.7,783.03,4511.73,Taxabile,21,310344,,
BFM2 102,107,2,,20250810,20250810,380,,,,,,,,,,,,,,,,,,3972.69,834.27,8719.94,,0,5125,8719.94,53112,0.0,5328,4427,marfa m2 21%,,marfa m2 21%,1,,,,,,4806.96,3972.69,834.27,4806.96,Taxabile,21,310344,,
