Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM3,98,3,,20250801,20250801,380,,,,,,,,,,,,,,,,,,124.59,26.16,35511.3,,0,5125,35511.3,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,150.75,124.59,26.16,150.75,Taxabile,21,310344,,
BFM3,99,3,,20250802,20250802,380,,,,,,,,,,,,,,,,,,129.55,27.2,41461.72,,0,5125,41461.72,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,156.75,129.55,27.2,156.75,Taxabile,21,310344,,
BFM3,100,3,,20250803,20250803,380,,,,,,,,,,,,,,,,,,164.05,34.45,35247.05,,0,5125,35247.05,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,198.5,164.05,34.45,198.5,Taxabile,21,310344,,
BFM3,101,3,,20250804,20250804,380,,,,,,,,,,,,,,,,,,48.55,10.2,13935.79,,0,5125,13935.79,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,58.75,48.55,10.2,58.75,Taxabile,21,310344,,
BFM3,102,3,,20250805,20250805,380,,,,,,,,,,,,,,,,,,46.69,9.81,14444.84,,0,5125,14444.84,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,56.5,46.69,9.81,56.5,Taxabile,21,310344,,
BFM3,103,3,,20250806,20250806,380,,,,,,,,,,,,,,,,,,62.6,13.15,18556.56,,0,5125,18556.56,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,75.75,62.6,13.15,75.75,Taxabile,21,310344,,
BFM3,104,3,,20250807,20250807,380,,,,,,,,,,,,,,,,,,53.31,11.19,20796.85,,0,5125,20796.85,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,64.5,53.31,11.19,64.5,Taxabile,21,310344,,
BFM3,105,3,,20250808,20250808,380,,,,,,,,,,,,,,,,,,100.83,21.17,31106.16,,0,5125,31106.16,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,122.0,100.83,21.17,122.0,Taxabile,21,310344,,
BFM3,106,3,,20250809,20250809,380,,,,,,,,,,,,,,,,,,175.21,36.79,49368.18,,0,5125,49368.18,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,212.0,175.21,36.79,212.0,Taxabile,21,310344,,
BFM3,107,3,,20250810,20250810,380,,,,,,,,,,,,,,,,,,78.93,16.57,38333.91,,0,5125,38333.91,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,95.5,78.93,16.57,95.5,Taxabile,21,310344,,
BFM3,108,3,,20250811,20250811,380,,,,,,,,,,,,,,,,,,53.31,11.19,14283.63,,0,5125,14283.63,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,64.5,53.31,11.19,64.5,Taxabile,21,310344,,
BFM3,109,3,,20250812,20250812,380,,,,,,,,,,,,,,,,,,70.66,14.84,17808.95,,0,5125,17808.95,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,85.5,70.66,14.84,85.5,Taxabile,21,310344,,
BFM3,110,3,,20250813,20250813,380,,,,,,,,,,,,,,,,,,88.43,18.57,21593.45,,0,5125,21593.45,53113,0,5328,4427,marfa m3 21%,,,1,,,,,,107.0,88.43,18.57,107.0,Taxabile,21,310344,,
