Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM1 0014,1622,1,,20251201,20251201,380,,,,,,,,,,,,,,,,,,869.88,182.68,4739.16,,0,5125,4739.16,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,1052.56,869.88,182.68,1052.56,Taxabile,21,310344,,
BFM1 0014,1623,1,,20251202,20251202,380,,,,,,,,,,,,,,,,,,764.43,160.53,4632.09,,0,5125,4632.09,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,924.9599999999999,764.43,160.53,924.9599999999999,Taxabile,21,310344,,
BFM1 0014,1624,1,,20251203,20251203,380,,,,,,,,,,,,,,,,,,839.45,176.29,4171.63,,0,5125,4171.63,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,1015.74,839.45,176.29,1015.74,Taxabile,21,310344,,
BFM1 0014,1625,1,,20251204,20251204,380,,,,,,,,,,,,,,,,,,759.77,159.55,5862.77,,0,5125,5862.77,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,919.3199999999999,759.77,159.55,919.3199999999999,Taxabile,21,310344,,
BFM1 0014,1626,1,,20251205,20251205,380,,,,,,,,,,,,,,,,,,1272.64,267.25,4959.4,,0,5125,4959.4,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,1539.89,1272.64,267.25,1539.89,Taxabile,21,310344,,
BFM1 0014,1627,1,,20251206,20251206,380,,,,,,,,,,,,,,,,,,1284.68,269.78,4713.93,,0,5125,4713.93,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,1554.46,1284.68,269.78,1554.46,Taxabile,21,310344,,
BFM1 0014,1628,1,,20251207,20251207,380,,,,,,,,,,,,,,,,,,346.38,72.74,3045.14,,0,5125,3045.14,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,419.12,346.38,72.74,419.12,Taxabile,21,310344,,
BFM1 0014,1629,1,,20251208,20251208,380,,,,,,,,,,,,,,,,,,542.2,113.86,4348.11,,0,5125,4348.11,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,656.0600000000001,542.2,113.86,656.0600000000001,Taxabile,21,310344,,
BFM1 0014,1630,1,,20251209,20251209,380,,,,,,,,,,,,,,,,,,583.19,122.47,4141.85,,0,5125,4141.85,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,705.6600000000001,583.19,122.47,705.6600000000001,Taxabile,21,310344,,
BFM1 0014,1631,1,,20251210,20251210,380,,,,,,,,,,,,,,,,,,724.98,152.24,4838.64,,0,5125,4838.64,5311,0,5328,4427,marfa m1  21%,,marfa m1 ,1,,,,,,877.22,724.98,152.24,877.22,Taxabile,21,310344,,
