Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
F,275,3,,20251101,20251101,380,,,,,,,,,,,,,,,,,,38.84,8.16,5575.2,,0,5125,5575.2,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,47.0,38.84,8.16,47.0,Taxabile,21,310344,,
F,276,3,,20251102,20251102,380,,,,,,,,,,,,,,,,,,4.13,0.87,3366.78,,0,5125,3366.78,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,5.0,4.13,0.87,5.0,Taxabile,21,310344,,
F,277,3,,20251103,20251103,380,,,,,,,,,,,,,,,,,,7.64,1.61,4915.29,,0,5125,4915.29,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,9.25,7.64,1.61,9.25,Taxabile,21,310344,,
F,278,3,,20251104,20251104,380,,,,,,,,,,,,,,,,,,31.4,6.6,4765.59,,0,5125,4765.59,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,38.0,31.4,6.6,38.0,Taxabile,21,310344,,
F,279,3,,20251105,20251105,380,,,,,,,,,,,,,,,,,,67.36,14.14,4932.25,,0,5125,4932.25,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,81.5,67.36,14.14,81.5,Taxabile,21,310344,,
F,280,3,,20251106,20251106,380,,,,,,,,,,,,,,,,,,24.38,5.12,4860.35,,0,5125,4860.35,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,29.5,24.38,5.12,29.5,Taxabile,21,310344,,
F,281,3,,20251107,20251107,380,,,,,,,,,,,,,,,,,,16.12,3.38,5499.69,,0,5125,5499.69,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,19.5,16.12,3.38,19.5,Taxabile,21,310344,,
F,282,3,,20251108,20251108,380,,,,,,,,,,,,,,,,,,39.67,8.33,7001.97,,0,5125,7001.97,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,48.0,39.67,8.33,48.0,Taxabile,21,310344,,
F,283,3,,20251109,20251109,380,,,,,,,,,,,,,,,,,,40.08,8.42,4920.98,,0,5125,4920.98,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,48.5,40.08,8.42,48.5,Taxabile,21,310344,,
F,284,3,,20251110,20251110,380,,,,,,,,,,,,,,,,,,13.22,2.78,4416.27,,0,5125,4416.27,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,16.0,13.22,2.78,16.0,Taxabile,21,310344,,
F,285,3,,20251111,20251111,380,,,,,,,,,,,,,,,,,,28.1,5.9,4639.4,,0,5125,4639.4,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,34.0,28.1,5.9,34.0,Taxabile,21,310344,,
F,286,3,,20251112,20251112,380,,,,,,,,,,,,,,,,,,21.07,4.43,5276.63,,0,5125,5276.63,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,25.5,21.07,4.43,25.5,Taxabile,21,310344,,
F,287,3,,20251113,20251113,380,,,,,,,,,,,,,,,,,,47.52,9.98,5857.11,,0,5125,5857.11,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,57.5,47.52,9.98,57.5,Taxabile,21,310344,,
F,288,3,,20251114,20251114,380,,,,,,,,,,,,,,,,,,89.26,18.74,5841.22,,0,5125,5841.22,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,108.0,89.26,18.74,108.0,Taxabile,21,310344,,
F,289,3,,20251115,20251115,380,,,,,,,,,,,,,,,,,,19.83,4.17,6331.81,,0,5125,6331.81,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,24.0,19.83,4.17,24.0,Taxabile,21,310344,,
F,290,3,,20251116,20251116,380,,,,,,,,,,,,,,,,,,21.07,4.43,4706.35,,0,5125,4706.35,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,25.5,21.07,4.43,25.5,Taxabile,21,310344,,
F,291,3,,20251117,20251117,380,,,,,,,,,,,,,,,,,,6.2,1.3,5249.18,,0,5125,5249.18,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,7.5,6.2,1.3,7.5,Taxabile,21,310344,,
F,292,3,,20251118,20251118,380,,,,,,,,,,,,,,,,,,12.81,2.69,4403.33,,0,5125,4403.33,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,15.5,12.81,2.69,15.5,Taxabile,21,310344,,
F,293,3,,20251119,20251119,380,,,,,,,,,,,,,,,,,,28.1,5.9,5595.25,,0,5125,5595.25,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,34.0,28.1,5.9,34.0,Taxabile,21,310344,,
F,294,3,,20251120,20251120,380,,,,,,,,,,,,,,,,,,43.8,9.2,4860.86,,0,5125,4860.86,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,53.0,43.8,9.2,53.0,Taxabile,21,310344,,
F,295,3,,20251121,20251121,380,,,,,,,,,,,,,,,,,,18.6,3.9,4093.81,,0,5125,4093.81,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,22.5,18.6,3.9,22.5,Taxabile,21,310344,,
F,296,3,,20251122,20251122,380,,,,,,,,,,,,,,,,,,12.4,2.6,5079.99,,0,5125,5079.99,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,15.0,12.4,2.6,15.0,Taxabile,21,310344,,
F,297,3,,20251123,20251123,380,,,,,,,,,,,,,,,,,,2.48,0.52,4015.1,,0,5125,4015.1,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,3.0,2.48,0.52,3.0,Taxabile,21,310344,,
F,298,3,,20251124,20251124,380,,,,,,,,,,,,,,,,,,91.74,19.26,3737.38,,0,5125,3737.38,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,111.0,91.74,19.26,111.0,Taxabile,21,310344,,
F,299,3,,20251125,20251125,380,,,,,,,,,,,,,,,,,,1.65,0.35,4162.94,,0,5125,4162.94,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,2.0,1.65,0.35,2.0,Taxabile,21,310344,,
F,300,3,,20251126,20251126,380,,,,,,,,,,,,,,,,,,16.94,3.56,4865.96,,0,5125,4865.96,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,20.5,16.94,3.56,20.5,Taxabile,21,310344,,
F,301,3,,20251127,20251127,380,,,,,,,,,,,,,,,,,,24.79,5.21,5007.98,,0,5125,5007.98,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,30.0,24.79,5.21,30.0,Taxabile,21,310344,,
F,302,3,,20251128,20251128,380,,,,,,,,,,,,,,,,,,27.69,5.81,4880.16,,0,5125,4880.16,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,33.5,27.69,5.81,33.5,Taxabile,21,310344,,
F,303,3,,20251129,20251129,380,,,,,,,,,,,,,,,,,,8.68,1.82,4266.8,,0,5125,4266.8,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,10.5,8.68,1.82,10.5,Taxabile,21,310344,,
F,304,3,,20251130,20251130,380,,,,,,,,,,,,,,,,,,17.36,3.64,3430.45,,0,5125,3430.45,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,21.0,17.36,3.64,21.0,Taxabile,21,310344,,
F,275,3,,20251101,20251101,380,,,,,,,,,,,,,,,,,,4980.36,547.84,5575.2,,0,5125,5575.2,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5528.2,4980.36,547.84,5528.2,Taxabile,11,310351,,
F,276,3,,20251102,20251102,380,,,,,,,,,,,,,,,,,,3028.63,333.15,3366.78,,0,5125,3366.78,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,3361.78,3028.63,333.15,3361.78,Taxabile,11,310351,,
F,277,3,,20251103,20251103,380,,,,,,,,,,,,,,,,,,4419.86,486.18,4915.29,,0,5125,4915.29,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4906.04,4419.86,486.18,4906.04,Taxabile,11,310351,,
F,278,3,,20251104,20251104,380,,,,,,,,,,,,,,,,,,4259.09,468.5,4765.59,,0,5125,4765.59,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4727.59,4259.09,468.5,4727.59,Taxabile,11,310351,,
F,279,3,,20251105,20251105,380,,,,,,,,,,,,,,,,,,4370.05,480.7,4932.25,,0,5125,4932.25,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4850.75,4370.05,480.7,4850.75,Taxabile,11,310351,,
F,280,3,,20251106,20251106,380,,,,,,,,,,,,,,,,,,4352.12,478.73,4860.35,,0,5125,4860.35,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4830.85,4352.12,478.73,4830.85,Taxabile,11,310351,,
F,281,3,,20251107,20251107,380,,,,,,,,,,,,,,,,,,4937.11,543.08,5499.69,,0,5125,5499.69,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5480.19,4937.11,543.08,5480.19,Taxabile,11,310351,,
F,282,3,,20251108,20251108,380,,,,,,,,,,,,,,,,,,6264.84,689.13,7001.97,,0,5125,7001.97,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,6953.97,6264.84,689.13,6953.97,Taxabile,11,310351,,
F,283,3,,20251109,20251109,380,,,,,,,,,,,,,,,,,,4389.62,482.86,4920.98,,0,5125,4920.98,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4872.48,4389.62,482.86,4872.48,Taxabile,11,310351,,
F,284,3,,20251110,20251110,380,,,,,,,,,,,,,,,,,,3964.21,436.06,4416.27,,0,5125,4416.27,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4400.27,3964.21,436.06,4400.27,Taxabile,11,310351,,
F,285,3,,20251111,20251111,380,,,,,,,,,,,,,,,,,,4149.01,456.39,4639.4,,0,5125,4639.4,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4605.400000000001,4149.01,456.39,4605.400000000001,Taxabile,11,310351,,
F,286,3,,20251112,20251112,380,,,,,,,,,,,,,,,,,,4730.75,520.38,5276.63,,0,5125,5276.63,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5251.13,4730.75,520.38,5251.13,Taxabile,11,310351,,
F,287,3,,20251113,20251113,380,,,,,,,,,,,,,,,,,,5224.87,574.74,5857.11,,0,5125,5857.11,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5799.61,5224.87,574.74,5799.61,Taxabile,11,310351,,
F,288,3,,20251114,20251114,380,,,,,,,,,,,,,,,,,,5165.06,568.16,5841.22,,0,5125,5841.22,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5733.22,5165.06,568.16,5733.22,Taxabile,11,310351,,
F,289,3,,20251115,20251115,380,,,,,,,,,,,,,,,,,,5682.71,625.1,6331.81,,0,5125,6331.81,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,6307.81,5682.71,625.1,6307.81,Taxabile,11,310351,,
F,290,3,,20251116,20251116,380,,,,,,,,,,,,,,,,,,4216.98,463.87,4706.35,,0,5125,4706.35,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4680.849999999999,4216.98,463.87,4680.849999999999,Taxabile,11,310351,,
F,291,3,,20251117,20251117,380,,,,,,,,,,,,,,,,,,4722.23,519.45,5249.18,,0,5125,5249.18,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5241.679999999999,4722.23,519.45,5241.679999999999,Taxabile,11,310351,,
F,292,3,,20251118,20251118,380,,,,,,,,,,,,,,,,,,3953.0,434.83,4403.33,,0,5125,4403.33,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4387.83,3953.0,434.83,4387.83,Taxabile,11,310351,,
F,293,3,,20251119,20251119,380,,,,,,,,,,,,,,,,,,5010.14,551.11,5595.25,,0,5125,5595.25,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5561.25,5010.14,551.11,5561.25,Taxabile,11,310351,,
F,294,3,,20251120,20251120,380,,,,,,,,,,,,,,,,,,4331.41,476.45,4860.86,,0,5125,4860.86,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4807.86,4331.41,476.45,4807.86,Taxabile,11,310351,,
F,295,3,,20251121,20251121,380,,,,,,,,,,,,,,,,,,3667.85,403.46,4093.81,,0,5125,4093.81,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4071.31,3667.85,403.46,4071.31,Taxabile,11,310351,,
F,296,3,,20251122,20251122,380,,,,,,,,,,,,,,,,,,4563.05,501.94,5079.99,,0,5125,5079.99,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,5064.99,4563.05,501.94,5064.99,Taxabile,11,310351,,
F,297,3,,20251123,20251123,380,,,,,,,,,,,,,,,,,,3614.5,397.6,4015.1,,0,5125,4015.1,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4012.1,3614.5,397.6,4012.1,Taxabile,11,310351,,
F,298,3,,20251124,20251124,380,,,,,,,,,,,,,,,,,,3267.01,359.37,3737.38,,0,5125,3737.38,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,3626.38,3267.01,359.37,3626.38,Taxabile,11,310351,,
F,299,3,,20251125,20251125,380,,,,,,,,,,,,,,,,,,3748.59,412.35,4162.94,,0,5125,4162.94,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4160.9400000000005,3748.59,412.35,4160.9400000000005,Taxabile,11,310351,,
F,300,3,,20251126,20251126,380,,,,,,,,,,,,,,,,,,4365.28,480.18,4865.96,,0,5125,4865.96,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4845.46,4365.28,480.18,4845.46,Taxabile,11,310351,,
F,301,3,,20251127,20251127,380,,,,,,,,,,,,,,,,,,4484.67,493.31,5007.98,,0,5125,5007.98,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4977.9800000000005,4484.67,493.31,4977.9800000000005,Taxabile,11,310351,,
F,302,3,,20251128,20251128,380,,,,,,,,,,,,,,,,,,4366.36,480.3,4880.16,,0,5125,4880.16,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4846.66,4366.36,480.3,4846.66,Taxabile,11,310351,,
F,303,3,,20251129,20251129,380,,,,,,,,,,,,,,,,,,3834.5,421.8,4266.8,,0,5125,4266.8,5311,0,5328,4427,ff 1 11%,,ff 1,1,,,,,,4256.3,3834.5,421.8,4256.3,Taxabile,11,310351,,
