Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
A,818,1,,20260103,20260103,380,,,,,,,,,,,,,,,,,,141.74,29.76,2450.0,,0,5125,2450.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,171.5,141.74,29.76,171.5,Taxabile,21,310344,,
A,819,1,,20260105,20260105,380,,,,,,,,,,,,,,,,,,388.43,81.57,10542.0,,0,5125,10542.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,470.0,388.43,81.57,470.0,Taxabile,21,310344,,
A,820,1,,20260106,20260106,380,,,,,,,,,,,,,,,,,,379.75,79.75,5643.0,,0,5125,5643.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,459.5,379.75,79.75,459.5,Taxabile,21,310344,,
A,821,1,,20260107,20260107,380,,,,,,,,,,,,,,,,,,498.76,104.74,8721.5,,0,5125,8721.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,603.5,498.76,104.74,603.5,Taxabile,21,310344,,
A,822,1,,20260108,20260108,380,,,,,,,,,,,,,,,,,,524.79,110.21,10276.5,,0,5125,10276.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,635.0,524.79,110.21,635.0,Taxabile,21,310344,,
A,823,1,,20260109,20260109,380,,,,,,,,,,,,,,,,,,901.24,189.26,11891.0,,0,5125,11891.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1090.5,901.24,189.26,1090.5,Taxabile,21,310344,,
A,824,1,,20260110,20260110,380,,,,,,,,,,,,,,,,,,3428.51,719.99,14650.5,,0,5125,14650.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,4148.5,3428.51,719.99,4148.5,Taxabile,21,310344,,
A,825,1,,20260112,20260112,380,,,,,,,,,,,,,,,,,,446.08,93.68,9865.26,,0,5125,9865.26,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,539.76,446.08,93.68,539.76,Taxabile,21,310344,,
A,826,1,,20260113,20260113,380,,,,,,,,,,,,,,,,,,943.8,198.2,11654.0,,0,5125,11654.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1142.0,943.8,198.2,1142.0,Taxabile,21,310344,,
A,827,1,,20260114,20260114,380,,,,,,,,,,,,,,,,,,839.67,176.33,11372.5,,0,5125,11372.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1016.0,839.67,176.33,1016.0,Taxabile,21,310344,,
A,828,1,,20260115,20260115,380,,,,,,,,,,,,,,,,,,655.37,137.63,12056.0,,0,5125,12056.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,793.0,655.37,137.63,793.0,Taxabile,21,310344,,
A,829,1,,20260116,20260116,380,,,,,,,,,,,,,,,,,,650.0,136.5,11060.0,,0,5125,11060.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,786.5,650.0,136.5,786.5,Taxabile,21,310344,,
A,830,1,,20260117,20260117,380,,,,,,,,,,,,,,,,,,471.9,99.1,4600.0,,0,5125,4600.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,571.0,471.9,99.1,571.0,Taxabile,21,310344,,
A,831,1,,20260119,20260119,380,,,,,,,,,,,,,,,,,,2330.17,489.33,12892.0,,0,5125,12892.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,2819.5,2330.17,489.33,2819.5,Taxabile,21,310344,,
A,832,1,,20260120,20260120,380,,,,,,,,,,,,,,,,,,4029.75,846.25,14612.5,,0,5125,14612.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,4876.0,4029.75,846.25,4876.0,Taxabile,21,310344,,
A,833,1,,20260121,20260121,380,,,,,,,,,,,,,,,,,,661.16,138.84,11897.5,,0,5125,11897.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,800.0,661.16,138.84,800.0,Taxabile,21,310344,,
A,834,1,,20260122,20260122,380,,,,,,,,,,,,,,,,,,864.05,181.45,14704.5,,0,5125,14704.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1045.5,864.05,181.45,1045.5,Taxabile,21,310344,,
A,835,1,,20260123,20260123,380,,,,,,,,,,,,,,,,,,749.59,157.41,14360.0,,0,5125,14360.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,907.0,749.59,157.41,907.0,Taxabile,21,310344,,
A,836,1,,20260124,20260124,380,,,,,,,,,,,,,,,,,,538.02,112.98,8503.5,,0,5125,8503.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,651.0,538.02,112.98,651.0,Taxabile,21,310344,,
A,837,1,,20260126,20260126,380,,,,,,,,,,,,,,,,,,553.72,116.28,8088.0,,0,5125,8088.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,670.0,553.72,116.28,670.0,Taxabile,21,310344,,
A,838,1,,20260127,20260127,380,,,,,,,,,,,,,,,,,,665.7,139.8,10161.0,,0,5125,10161.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,805.5,665.7,139.8,805.5,Taxabile,21,310344,,
A,839,1,,20260128,20260128,380,,,,,,,,,,,,,,,,,,809.5,170.0,11468.5,,0,5125,11468.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,979.5,809.5,170.0,979.5,Taxabile,21,310344,,
A,840,1,,20260129,20260129,380,,,,,,,,,,,,,,,,,,685.95,144.05,14863.5,,0,5125,14863.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,830.0,685.95,144.05,830.0,Taxabile,21,310344,,
A,841,1,,20260130,20260130,380,,,,,,,,,,,,,,,,,,1128.1,236.9,37978.5,,0,5125,37978.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1365.0,1128.1,236.9,1365.0,Taxabile,21,310344,,
A,842,1,,20260131,20260131,380,,,,,,,,,,,,,,,,,,712.81,149.69,10877.5,,0,5125,10877.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,862.5,712.81,149.69,862.5,Taxabile,21,310344,,
A,818,1,,20260103,20260103,380,,,,,,,,,,,,,,,,,,2052.7,225.8,2450.0,,0,5125,2450.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,2278.5,2052.7,225.8,2278.5,Taxabile,11,310351,,
A,819,1,,20260105,20260105,380,,,,,,,,,,,,,,,,,,9073.87,998.13,10542.0,,0,5125,10542.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10072.0,9073.87,998.13,10072.0,Taxabile,11,310351,,
A,820,1,,20260106,20260106,380,,,,,,,,,,,,,,,,,,4669.82,513.68,5643.0,,0,5125,5643.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,5183.5,4669.82,513.68,5183.5,Taxabile,11,310351,,
A,821,1,,20260107,20260107,380,,,,,,,,,,,,,,,,,,7313.51,804.49,8721.5,,0,5125,8721.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,8118.0,7313.51,804.49,8118.0,Taxabile,11,310351,,
A,822,1,,20260108,20260108,380,,,,,,,,,,,,,,,,,,8686.04,955.46,10276.5,,0,5125,10276.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,9641.5,8686.04,955.46,9641.5,Taxabile,11,310351,,
A,823,1,,20260109,20260109,380,,,,,,,,,,,,,,,,,,9730.18,1070.32,11891.0,,0,5125,11891.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10800.5,9730.18,1070.32,10800.5,Taxabile,11,310351,,
A,824,1,,20260110,20260110,380,,,,,,,,,,,,,,,,,,9461.26,1040.74,14650.5,,0,5125,14650.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10502.0,9461.26,1040.74,10502.0,Taxabile,11,310351,,
A,825,1,,20260112,20260112,380,,,,,,,,,,,,,,,,,,8401.35,924.15,9865.26,,0,5125,9865.26,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,9325.5,8401.35,924.15,9325.5,Taxabile,11,310351,,
A,826,1,,20260113,20260113,380,,,,,,,,,,,,,,,,,,9470.27,1041.73,11654.0,,0,5125,11654.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10512.0,9470.27,1041.73,10512.0,Taxabile,11,310351,,
A,827,1,,20260114,20260114,380,,,,,,,,,,,,,,,,,,9330.18,1026.32,11372.5,,0,5125,11372.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10356.5,9330.18,1026.32,10356.5,Taxabile,11,310351,,
A,828,1,,20260115,20260115,380,,,,,,,,,,,,,,,,,,10146.85,1116.15,12056.0,,0,5125,12056.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,11263.0,10146.85,1116.15,11263.0,Taxabile,11,310351,,
A,829,1,,20260116,20260116,380,,,,,,,,,,,,,,,,,,9255.41,1018.09,11060.0,,0,5125,11060.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10273.5,9255.41,1018.09,10273.5,Taxabile,11,310351,,
A,830,1,,20260117,20260117,380,,,,,,,,,,,,,,,,,,3629.73,399.27,4600.0,,0,5125,4600.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,4029.0,3629.73,399.27,4029.0,Taxabile,11,310351,,
A,831,1,,20260119,20260119,380,,,,,,,,,,,,,,,,,,9074.32,998.18,12892.0,,0,5125,12892.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10072.5,9074.32,998.18,10072.5,Taxabile,11,310351,,
A,832,1,,20260120,20260120,380,,,,,,,,,,,,,,,,,,8771.62,964.88,14612.5,,0,5125,14612.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,9736.5,8771.62,964.88,9736.5,Taxabile,11,310351,,
A,833,1,,20260121,20260121,380,,,,,,,,,,,,,,,,,,9997.75,1099.75,11897.5,,0,5125,11897.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,11097.5,9997.75,1099.75,11097.5,Taxabile,11,310351,,
A,834,1,,20260122,20260122,380,,,,,,,,,,,,,,,,,,12305.41,1353.59,14704.5,,0,5125,14704.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,13659.0,12305.41,1353.59,13659.0,Taxabile,11,310351,,
A,835,1,,20260123,20260123,380,,,,,,,,,,,,,,,,,,12119.82,1333.18,14360.0,,0,5125,14360.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,13453.0,12119.82,1333.18,13453.0,Taxabile,11,310351,,
A,836,1,,20260124,20260124,380,,,,,,,,,,,,,,,,,,7074.32,778.18,8503.5,,0,5125,8503.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,7852.5,7074.32,778.18,7852.5,Taxabile,11,310351,,
A,837,1,,20260126,20260126,380,,,,,,,,,,,,,,,,,,6682.88,735.12,8088.0,,0,5125,8088.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,7418.0,6682.88,735.12,7418.0,Taxabile,11,310351,,
A,838,1,,20260127,20260127,380,,,,,,,,,,,,,,,,,,8428.38,927.12,10161.0,,0,5125,10161.0,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,9355.5,8428.38,927.12,9355.5,Taxabile,11,310351,,
A,839,1,,20260128,20260128,380,,,,,,,,,,,,,,,,,,9449.55,1039.45,11468.5,,0,5125,11468.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10489.0,9449.55,1039.45,10489.0,Taxabile,11,310351,,
A,840,1,,20260129,20260129,380,,,,,,,,,,,,,,,,,,12642.79,1390.71,14863.5,,0,5125,14863.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,14033.5,12642.79,1390.71,14033.5,Taxabile,11,310351,,
A,841,1,,20260130,20260130,380,,,,,,,,,,,,,,,,,,32985.14,3628.36,37978.5,,0,5125,37978.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,36613.5,32985.14,3628.36,36613.5,Taxabile,11,310351,,
A,842,1,,20260131,20260131,380,,,,,,,,,,,,,,,,,,9022.52,992.48,10877.5,,0,5125,10877.5,5311,0,5328,4427,autoservire 11%,,autoservire,1,,,,,,10015.0,9022.52,992.48,10015.0,Taxabile,11,310351,,
