Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1.0,Z POS,769,2025-11-01,Z emis la POS nr.1 inchiderea 852,16419.0,0,0,992.15,208.35,13703.15,1507.35,0,0,0,0,8.0,0,0
2.0,Z POS,770,2025-11-03,Z emis la POS nr.1 inchiderea 853,16646.0,0,0,3223.55,676.95,11292.34,1242.16,0,0,0,0,211.0,0,0
3.0,Z POS,771,2025-11-04,Z emis la POS nr.1 inchiderea 854,12375.0,0,0,1076.45,226.05,9962.16,1095.84,0,0,0,0,14.5,0,0
4.0,Z POS,772,2025-11-05,Z emis la POS nr.1 inchiderea 855,11459.0,0,0,759.09,159.41,9486.04,1043.46,0,0,0,0,11.0,0,0
5.0,Z POS,773,2025-11-06,Z emis la POS nr.1 inchiderea 856,11153.5,0,0,784.71,164.79,9182.88,1010.12,0,0,0,0,11.0,0,0
6.0,Z POS,774,2025-11-07,Z emis la POS nr.1 inchiderea 857,12524.5,0,0,749.17,157.33,10454.95,1150.05,0,0,0,0,13.0,0,0
7.0,Z POS,775,2025-11-08,Z emis la POS nr.1 inchiderea 858,15133.5,0,0,694.21,145.79,12855.86,1414.14,0,0,0,0,23.5,0,0
8.0,Z POS,776,2025-11-10,Z emis la POS nr.1 inchiderea 859,12041.5,0,0,736.36,154.64,10033.33,1103.67,0,0,0,0,13.5,0,0
9.0,Z POS,777,2025-11-11,Z emis la POS nr.1 inchiderea 860,11538.0,0,0,771.49,162.01,9536.94,1049.06,0,0,0,0,18.5,0,0
11.0,Z POS,778,2025-11-12,Z emis la POS nr.1 inchiderea 861,11100.5,0,0,637.6,133.9,9296.85,1022.65,0,0,0,0,9.5,0,0
12.0,Z POS,779,2025-11-13,Z emis la POS nr.1 inchiderea 862,14337.5,0,0,1279.75,268.75,11507.21,1265.79,0,0,0,0,16.0,0,0
13.0,Z POS,780,2025-11-14,Z emis la POS nr.1 inchiderea 863,16443.5,0,0,886.78,186.22,13814.86,1519.64,0,0,0,0,36.0,0,0
14.0,Z POS,781,2025-11-15,Z emis la POS nr.1 inchiderea 865,9698.8,0,0,777.93,163.37,7881.98,867.02,0,0,0,0,8.5,0,0
15.0,Z POS,782,2025-11-17,Z emis la POS nr.1 inchiderea 866,13063.5,0,0,651.24,136.76,11046.4,1215.1,0,0,0,0,14.0,0,0
16.0,Z POS,783,2025-11-18,Z emis la POS nr.1 inchiderea 867,12515.5,0,0,962.81,202.19,10212.16,1123.34,0,0,0,0,15.0,0,0
17.0,Z POS,784,2025-11-19,Z emis la POS nr.1 inchiderea 868,18257.5,0,0,4409.5,926.0,11616.67,1277.83,0,0,0,0,27.5,0,0
18.0,Z POS,785,2025-11-20,Z emis la POS nr.1 inchiderea 869,13120.0,0,0,764.88,160.62,10971.62,1206.88,0,0,0,0,16.0,0,0
19.0,Z POS,786,2025-11-21,Z emis la POS nr.1 inchiderea 870,17933.5,0,0,950.41,199.59,15108.56,1661.94,0,0,0,0,13.0,0,0
20.0,Z POS,787,2025-11-22,Z emis la POS nr.1 inchiderea 871,11398.5,0,0,383.06,80.44,9846.85,1083.15,0,0,0,0,5.0,0,0
21.0,Z POS,788,2025-11-24,Z emis la POS nr.1 inchiderea 872,11305.0,0,0,873.14,183.36,9226.58,1014.92,0,0,0,0,7.0,0,0
22.0,Z POS,789,2025-11-25,Z emis la POS nr.1 inchiderea 873,13846.0,0,0,894.63,187.87,11480.63,1262.87,0,0,0,0,20.0,0,0
23.0,Z POS,790,2025-11-26,Z emis la POS nr.1 inchiderea 874,13947.0,0,0,1415.29,297.21,10962.61,1205.89,0,0,0,0,66.0,0,0
26.0,Z POS,791,2025-11-27,Z emis la POS nr.1 inchiderea 875,20513.5,0,0,1053.72,221.28,17290.09,1901.91,0,0,0,0,46.5,0,0
27.0,Z POS,792,2025-11-28,Z emis la POS nr.1 inchiderea 876,53169.5,0,0,857.02,179.98,46959.46,5165.54,0,0,0,0,7.5,0,0
28.0,Z POS,793,2025-11-29,Z emis la POS nr.1 inchiderea 877,7824.0,0,0,448.76,94.24,6554.95,721.05,0,0,0,0,5.0,0,0
