Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1.0,Z POS,818.0,2026-01-03,Z emis la POS nr.1 inchiderea 902,2451.5,0,0,141.74,29.76,2052.7,225.8,0,0,0,0,1.5,0.0,0
2.0,Z POS,819.0,2026-01-05,Z emis la POS nr.1 inchiderea 903,10556.5,0,0,388.43,81.57,9073.87,998.13,0,0,0,0,14.5,0.0,0
3.0,Z POS,820.0,2026-01-06,Z emis la POS nr.1 inchiderea 904,5647.0,0,0,379.75,79.75,4669.82,513.68,0,0,0,0,4.0,0.0,0
4.0,Z POS,821.0,2026-01-07,Z emis la POS nr.1 inchiderea 905,8730.0,0,0,498.76,104.74,7313.51,804.49,0,0,0,0,8.5,0.0,0
5.0,Z POS,822.0,2026-01-08,Z emis la POS nr.1 inchiderea 906,10287.5,0,0,524.79,110.21,8686.04,955.46,0,0,0,0,11.0,0.0,0
6.0,Z POS,823.0,2026-01-09,Z emis la POS nr.1 inchiderea 907,11908.0,0,0,901.24,189.26,9730.18,1070.32,0,0,0,0,17.0,0.0,0
7.0,Z POS,824.0,2026-01-10,Z emis la POS nr.1 inchiderea 908,14672.5,0,0,3428.51,719.99,9461.26,1040.74,0,0,0,0,22.0,0.0,0
8.0,Z POS,825.0,2026-01-12,Z emis la POS nr.1 inchiderea 909,9877.26,0,0,446.08,93.68,8401.35,924.15,0,0,0,0,12.0,0.0,0
10.0,Z POS,826.0,2026-01-13,Z emis la POS nr.1 inchiderea 910,11664.5,0,0,943.8,198.2,9470.27,1041.73,0,0,0,0,10.5,0.0,0
11.0,Z POS,827.0,2026-01-14,Z emis la POS nr.1 inchiderea 911,11387.0,0,0,839.67,176.33,9330.18,1026.32,0,0,0,0,14.5,0.0,0
12.0,Z POS,828.0,2026-01-15,Z emis la POS nr.1 inchiderea 912,12071.0,0,0,655.37,137.63,10146.85,1116.15,0,0,0,0,15.0,0.0,0
13.0,Z POS,829.0,2026-01-16,Z emis la POS nr.1 inchiderea 913,11070.5,0,0,650.0,136.5,9255.41,1018.09,0,0,0,0,10.5,0.0,0
14.0,Z POS,830.0,2026-01-17,Z emis la POS nr.1 inchiderea 914,4607.0,0,0,471.9,99.1,3629.73,399.27,0,0,0,0,7.0,0.0,0
15.0,Z POS,831.0,2026-01-19,Z emis la POS nr.1 inchiderea 915,12964.5,0,0,2330.17,489.33,9074.32,998.18,0,0,0,0,72.5,0.0,0
17.0,Z POS,832.0,2026-01-20,Z emis la POS nr.1 inchiderea 916,14906.0,0,0,4029.75,846.25,8771.62,964.88,0,0,0,0,293.5,0.0,0
18.0,Z POS,833.0,2026-01-21,Z emis la POS nr.1 inchiderea 917,11905.0,0,0,661.16,138.84,9997.75,1099.75,0,0,0,0,7.5,0.0,0
19.0,Z POS,834.0,2026-01-22,Z emis la POS nr.1 inchiderea 918,14713.0,0,0,864.05,181.45,12305.41,1353.59,0,0,0,0,8.5,0.0,0
20.0,Z POS,835.0,2026-01-23,Z emis la POS nr.1 inchiderea 919,14376.5,0,0,749.59,157.41,12119.82,1333.18,0,0,0,0,16.5,0.0,0
21.0,Z POS,836.0,2026-01-24,Z emis la POS nr.1 inchiderea 920,8507.5,0,0,538.02,112.98,7074.32,778.18,0,0,0,0,4.0,0.0,0
22.0,Z POS,837.0,2026-01-26,Z emis la POS nr.1 inchiderea 921,8095.0,0,0,553.72,116.28,6682.88,735.12,0,0,0,0,7.0,0.0,0
23.0,Z POS,838.0,2026-01-27,Z emis la POS nr.1 inchiderea 922,10174.0,0,0,665.7,139.8,8428.38,927.12,0,0,0,0,13.0,0.0,0
24.0,Z POS,839.0,2026-01-28,Z emis la POS nr.1 inchiderea 923,11483.0,0,0,809.5,170.0,9449.55,1039.45,0,0,0,0,14.5,0.0,0
28.0,Z POS,840.0,2026-01-29,Z emis la POS nr.1 inchiderea 924,14868.0,0,0,685.95,144.05,12642.79,1390.71,0,0,0,0,4.5,0.0,0
30.0,Z POS,841.0,2026-01-30,Z emis la POS nr.1 inchiderea 925,37996.0,0,0,1128.1,236.9,32985.14,3628.36,0,0,0,0,17.5,0.0,0
31.0,Z POS,842.0,2026-01-31,Z emis la POS nr.1 inchiderea 926,10886.0,0,0,712.81,149.69,9022.52,992.48,0,0,0,0,8.5,0.0,0
,nan,,,nan,,0,0,,,,,0,0,0,0,,,0
,nan,,,nan,,0,0,,,,,0,0,0,0,,,0
