Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1,Z POS,222,2025-12-01,Z emis la POS nr.1 inchiderea 3638,13412.71,0,0,52.69,11.06,12026.09,1322.87,0,0,0,0,0,0,0
2,Z POS,223,2025-12-02,Z emis la POS nr.1 inchiderea 3639,12073.19,0,0,41.32,8.68,10831.7,1191.49,0,0,0,0,0,0,0
3,Z POS,225,2025-12-03,Z emis la POS nr.1 inchiderea 3640,10936.22,0,0,30.17,6.33,9819.57,1080.15,0,0,0,0,0,0,0
4,Z POS,226,2025-12-04,Z emis la POS nr.1 inchiderea 3641,11722.42,0,0,42.15,8.85,10514.79,1156.63,0,0,0,0,0,0,0
5,Z POS,227,2025-12-05,Z emis la POS nr.1 inchiderea 3642,19608.83,0,0,61.16,12.84,17598.95,1935.88,0,0,0,0,0,0,0
6,Z POS,228,2025-12-06,Z emis la POS nr.1 inchiderea 3643,24661.34,0,0,88.43,18.57,22121.03,2433.31,0,0,0,0,0,0,0
7,Z POS,229,2025-12-07,Z emis la POS nr.1 inchiderea 3644,15485.37,0,0,69.01,14.49,13875.56,1526.31,0,0,0,0,0,0,0
8,Z POS,230,2025-12-08,Z emis la POS nr.1 inchiderea 3645,10126.1,0,0,38.02,7.98,9081.17,998.93,0,0,0,0,0,0,0
9,Z POS,231,2025-12-09,Z emis la POS nr.1 inchiderea 3646,11676.11,0,0,45.87,9.63,10469.02,1151.59,0,0,0,0,0,0,0
10,Z POS,232,2025-12-10,Z emis la POS nr.1 inchiderea 3647,16116.41,0,0,44.83,9.42,14470.41,1591.75,0,0,0,0,0,0,0
11,Z POS,233,2025-12-11,Z emis la POS nr.1 inchiderea 3648,17390.12,0,0,57.64,12.11,15603.94,1716.43,0,0,0,0,0,0,0
12,Z POS,234,2025-12-12,Z emis la POS nr.1 inchiderea 3649,22763.45,0,0,64.88,13.62,20436.89,2248.06,0,0,0,0,0,0,0
13,Z POS,235,2025-12-13,Z emis la POS nr.1 inchiderea 3650,29199.46,0,0,95.04,19.96,26202.22,2882.24,0,0,0,0,0,0,0
14,Z POS,236,2025-12-14,Z emis la POS nr.1 inchiderea 3651,18814.48,0,0,66.74,14.01,16877.23,1856.5,0,0,0,0,0,0,0
15,Z POS,237,2025-12-15,Z emis la POS nr.1 inchiderea 3652,16162.06,0,0,48.97,10.28,14507.04,1595.77,0,0,0,0,0,0,0
16,Z POS,238,2025-12-16,Z emis la POS nr.1 inchiderea 3653,18062.92,0,0,61.36,12.89,16206.01,1782.66,0,0,0,0,0,0,0
17,Z POS,239,2025-12-17,Z emis la POS nr.1 inchiderea 3654,18916.67,0,0,62.4,13.1,16974.03,1867.14,0,0,0,0,0,0,0
18,Z POS,240,2025-12-18,Z emis la POS nr.1 inchiderea 3655,19565.68,0,0,58.26,12.24,17563.23,1931.95,0,0,0,0,0,0,0
19,Z POS,241,2025-12-19,Z emis la POS nr.1 inchiderea 3656,31772.0,0,0,77.07,16.18,28539.41,3139.34,0,0,0,0,0,0,0
20,Z POS,242,2025-12-20,Z emis la POS nr.1 inchiderea 3657,37404.22,0,0,104.13,21.87,33583.98,3694.24,0,0,0,0,0,0,0
21,Z POS,243,2025-12-21,Z emis la POS nr.1 inchiderea 3658,24464.93,0,0,107.02,22.48,21923.81,2411.62,0,0,0,0,0,0,0
22,Z POS,244,2025-12-22,Z emis la POS nr.1 inchiderea 3659,45683.33,0,0,137.4,28.85,41006.38,4510.7,0,0,0,0,0,0,0
23,Z POS,245,2025-12-23,Z emis la POS nr.1 inchiderea 3660,51699.56,0,0,160.33,33.67,46401.41,5104.15,0,0,0,0,0,0,0
24,Z POS,246,2025-12-24,Z emis la POS nr.1 inchiderea 3661,23917.34,0,0,85.12,17.88,21454.36,2359.98,0,0,0,0,0,0,0
25,Z POS,247,2025-12-26,Z emis la POS nr.1 inchiderea 3662,6489.51,0,0,29.75,6.25,5813.97,639.54,0,0,0,0,0,0,0
26,Z POS,248,2025-12-27,Z emis la POS nr.1 inchiderea 3663,11032.01,0,0,29.75,6.25,9906.32,1089.69,0,0,0,0,0,0,0
27,Z POS,249,2025-12-28,Z emis la POS nr.1 inchiderea 3664,11038.42,0,0,27.89,5.86,9914.12,1090.55,0,0,0,0,0,0,0
28,Z POS,250,2025-12-29,Z emis la POS nr.1 inchiderea 3665,27479.29,0,0,64.26,13.49,24686.07,2715.47,0,0,0,0,0,0,0
29,Z POS,251,2025-12-30,Z emis la POS nr.1 inchiderea 3666,39536.99,0,0,136.36,28.64,35470.26,3901.73,0,0,0,0,0,0,0
30,Z POS,252,2025-12-31,Z emis la POS nr.1 inchiderea 3667,21072.71,0,0,87.4,18.35,18889.15,2077.81,0,0,0,0,0,0,0
