"Borderou de Vanzare (Incasare)
In intervalul 01.12.2025 - 31.12.2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Nr. Crt,Documentul,,,Explicatii,Vanzari (Incasari),,,,,,,,,,,,,,,,
,Denumire,Nr. Doc(Z),Data,,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,,0.21,Taxabile,,0.11,Nefolosit,,Nefolosit,,Netaxabil,,,0.0
,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1,Z POS,794,2025-12-01 00:00:00,Z emis la POS nr.1 inchiderea 878,10337,0,0,638.43,134.07,,8611.71,947.29,,0,0,0,0,5.5,0,,
2,Z POS,795,2025-12-02 00:00:00,Z emis la POS nr.1 inchiderea 879,15370.5,0,0,758.26,159.24,,13005.41,1430.59,,0,0,0,0,17,0,,
3,Z POS,796,2025-12-03 00:00:00,Z emis la POS nr.1 inchiderea 880,22006,0,0,2238.02,469.98,,17375.23,1911.27,,0,0,0,0,11.5,0,,
4,Z POS,797,2025-12-04 00:00:00,Z emis la POS nr.1 inchiderea 881,18793.5,0,0,850,178.5,,15993.24,1759.26,,0,0,0,0,12.5,0,,
5,Z POS,798,2025-12-05 00:00:00,Z emis la POS nr.1 inchiderea 882,18560,0,0,5284.3,1109.7,,10948.65,1204.35,,0,0,0,0,13,0,,
6,Z POS,799,2025-12-06 00:00:00,Z emis la POS nr.1 inchiderea 883,10577,0,0,648.35,136.15,,8813.51,969.49,,0,0,0,0,9.5,0,,
7,Z POS,800,2025-12-08 00:00:00,Z emis la POS nr.1 inchiderea 884,10253.5,0,0,696.69,146.31,,8469.37,931.63,,0,0,0,0,9.5,0,,
8,Z POS,801,2025-12-09 00:00:00,Z emis la POS nr.1 inchiderea 885,14662.5,0,0,885.54,185.96,,12227.03,1344.97,,0,0,0,0,19,0,,
9,Z POS,802,2025-12-10 00:00:00,Z emis la POS nr.1 inchiderea 886,13526.5,0,0,881.82,185.18,,11208.56,1232.94,,0,0,0,0,18,0,,
10,Z POS,803,2025-12-11 00:00:00,Z emis la POS nr.1 inchiderea 887,14223,0,0,704.13,147.87,,12037.39,1324.11,,0,0,0,0,9.5,0,,
12,Z POS,804,2025-12-12 00:00:00,Z emis la POS nr.1 inchiderea 888,15540,0,0,798.35,167.65,,13116.22,1442.78,,0,0,0,0,15,0,,
13,Z POS,805,2025-12-13 00:00:00,Z emis la POS nr.1 inchiderea 889,10477.5,0,0,1037.19,217.81,,8278.38,910.62,,0,0,0,0,33.5,0,,
14,Z POS,806,2025-12-15 00:00:00,Z emis la POS nr.1 inchiderea 890,11682,0,0,615.29,129.21,,9845.05,1082.95,,0,0,0,0,9.5,0,,
15,Z POS,807,2025-12-16 00:00:00,Z emis la POS nr.1 inchiderea 891,15296.5,0,0,1011.98,212.52,,12653.15,1391.85,,0,0,0,0,27,0,,
16,Z POS,808,2025-12-17 00:00:00,Z emis la POS nr.1 inchiderea 892,16974,0,0,943.39,198.11,,14246.4,1567.1,,0,0,0,0,19,0,,
17,Z POS,809,2025-12-18 00:00:00,Z emis la POS nr.1 inchiderea 893,26608,0,0,1169.42,245.58,,22683.78,2495.22,,0,0,0,0,14,0,,
18,Z POS,810,2025-12-19 00:00:00,Z emis la POS nr.1 inchiderea 894,30706,0,0,1073.55,225.45,,26464.86,2911.14,,0,0,0,0,31,0,,
19,Z POS,811,2025-12-20 00:00:00,Z emis la POS nr.1 inchiderea 895,13308,0,0,512.81,107.69,,11425.23,1256.77,,0,0,0,0,5.5,0,,
20,Z POS,812,2025-12-22 00:00:00,Z emis la POS nr.1 inchiderea 896,10858,0,0,628.1,131.9,,9084.68,999.32,,0,0,0,0,14,0,,
21,Z POS,813,2025-12-23 00:00:00,Z emis la POS nr.1 inchiderea 897,26510.5,0,0,2582.23,542.27,,21060.36,2316.64,,0,0,0,0,9,0,,
22,Z POS,814,2025-12-26 00:00:00,Z emis la POS nr.1 inchiderea 898,2766,0,0,235.54,49.46,,2210.81,243.19,,0,0,0,0,27,0,,
25,Z POS,815,2025-12-27 00:00:00,Z emis la POS nr.1 inchiderea 899,6210.5,0,0,269.42,56.58,,5298.65,582.85,,0,0,0,0,3,0,,
26,Z POS,816,2025-12-29 00:00:00,Z emis la POS nr.1 inchiderea 900,8325,0,0,276.45,58.05,,7189.19,790.81,,0,0,0,0,10.5,0,,
27,Z POS,817,2025-12-30 00:00:00,Z emis la POS nr.1 inchiderea 901,14490.5,0,0,572.73,120.27,,12424.77,1366.73,,0,0,0,0,6,0,,
TOTAL GENERAL :          369 710.56           0                    0             28 287.2           5 940.3   301 935.59   33 212.91                    0                 0                  0                0           334.56                0,,,,,,,,,,,,,,,,,,,,,
Intocmit ..................................................................................................................................                                                                                                                                                  Verificat ...................................................................................................................................,,,,,,,,,,,,,,,,,,,,,
