"Borderou de Vanzare (Incasare)
In intervalul 01.12.2025 - 31.12.2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Nr. Crt,Documentul,,,Explicatii,Vanzari (Incasari),,,,,,,,,,,,,,,,
,Denumire,Nr. Doc(Z),Data,,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,,0.21,Taxabile,,0.11,Nefolosit,,Nefolosit,,Netaxabil,,,0.0
,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1,Z POS,225,2025-12-01 00:00:00,Z emis la POS nr.102 inchiderea 6433,4787.26,0,0,1836.31,385.63,,2294.88,252.44,,0,0,0,0,18,0,,
2,Z POS,240,2025-12-01 00:00:00,Z emis la POS nr.103 inchiderea 6434,17569.02,0,0,7742.69,1625.96,,7304.39,803.48,,0,0,0,0,92.5,0,,
3,Z POS,226,2025-12-02 00:00:00,Z emis la POS nr.102 inchiderea 6435,4461.43,0,0,1721.88,361.6,,2115.72,232.73,,0,0,0,0,29.5,0,,
4,Z POS,241,2025-12-02 00:00:00,Z emis la POS nr.103 inchiderea 6436,19628.67,0,0,8729.38,1833.17,,8063.62,887,,0,0,0,0,115.5,0,,
5,Z POS,227,2025-12-03 00:00:00,Z emis la POS nr.102 inchiderea 6437,4317,0,0,1835.73,385.5,,1863.76,205.01,,0,0,0,0,27,0,,
6,Z POS,242,2025-12-03 00:00:00,Z emis la POS nr.103 inchiderea 6438,18902.68,0,0,8181.62,1718.14,,8031.46,883.46,,0,0,0,0,88,0,,
7,Z POS,228,2025-12-04 00:00:00,Z emis la POS nr.102 inchiderea 6439,6298.22,0,0,2670.36,560.77,,2739.27,301.32,,0,0,0,0,26.5,0,,
8,Z POS,243,2025-12-04 00:00:00,Z emis la POS nr.103 inchiderea 6440,21017.15,0,0,9506.8,1996.43,,8465.69,931.23,,0,0,0,0,117,0,,
9,Z POS,229,2025-12-05 00:00:00,Z emis la POS nr.102 inchiderea 6441,9665.48,0,0,4009.02,841.9,,4283.84,471.22,,0,0,0,0,59.5,0,,
10,Z POS,244,2025-12-05 00:00:00,Z emis la POS nr.103 inchiderea 6442,23186.78,0,0,10292.17,2161.35,,9567.35,1052.41,,0,0,0,0,113.5,0,,
