Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM2 103,240,2,,20251201,20251201,380,,,,,,,,,,,,,,,,,,7742.69,1625.96,17476.52,,0,5125,17476.52,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9368.65,7742.69,1625.96,9368.65,Taxabile,21,310344,,
BFM2 103,241,2,,20251202,20251202,380,,,,,,,,,,,,,,,,,,8729.38,1833.17,19513.17,,0,5125,19513.17,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10562.55,8729.38,1833.17,10562.55,Taxabile,21,310344,,
BFM2 103,242,2,,20251203,20251203,380,,,,,,,,,,,,,,,,,,8181.62,1718.14,18814.68,,0,5125,18814.68,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9899.76,8181.62,1718.14,9899.76,Taxabile,21,310344,,
BFM2 103,243,2,,20251204,20251204,380,,,,,,,,,,,,,,,,,,9506.8,1996.43,20900.15,,0,5125,20900.15,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,11503.23,9506.8,1996.43,11503.23,Taxabile,21,310344,,
BFM2 103,244,2,,20251205,20251205,380,,,,,,,,,,,,,,,,,,10292.17,2161.35,23073.28,,0,5125,23073.28,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12453.52,10292.17,2161.35,12453.52,Taxabile,21,310344,,
BFM2 103,245,2,,20251206,20251206,380,,,,,,,,,,,,,,,,,,7728.84,1623.06,18203.87,,0,5125,18203.87,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9351.9,7728.84,1623.06,9351.9,Taxabile,21,310344,,
BFM2 103,246,2,,20251207,20251207,380,,,,,,,,,,,,,,,,,,5905.36,1240.13,14517.42,,0,5125,14517.42,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,7145.49,5905.36,1240.13,7145.49,Taxabile,21,310344,,
BFM2 103,247,2,,20251208,20251208,380,,,,,,,,,,,,,,,,,,8725.67,1832.39,19624.13,,0,5125,19624.13,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10558.06,8725.67,1832.39,10558.06,Taxabile,21,310344,,
BFM2 103,248,2,,20251209,20251209,380,,,,,,,,,,,,,,,,,,9944.67,2088.38,21573.75,,0,5125,21573.75,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12033.05,9944.67,2088.38,12033.05,Taxabile,21,310344,,
BFM2 103,249,2,,20251210,20251210,380,,,,,,,,,,,,,,,,,,7853.83,1649.31,17616.7,,0,5125,17616.7,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9503.14,7853.83,1649.31,9503.14,Taxabile,21,310344,,
BFM2 103,250,2,,20251211,20251211,380,,,,,,,,,,,,,,,,,,8938.42,1877.07,19646.8,,0,5125,19646.8,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10815.49,8938.42,1877.07,10815.49,Taxabile,21,310344,,
BFM2 103,251,2,,20251212,20251212,380,,,,,,,,,,,,,,,,,,10179.85,2137.77,22162.3,,0,5125,22162.3,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12317.62,10179.85,2137.77,12317.62,Taxabile,21,310344,,
BFM2 103,252,2,,20251213,20251213,380,,,,,,,,,,,,,,,,,,12300.5,2583.11,24350.59,,0,5125,24350.59,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,14883.61,12300.5,2583.11,14883.61,Taxabile,21,310344,,
BFM2 103,253,2,,20251214,20251214,380,,,,,,,,,,,,,,,,,,7435.95,1561.55,16662.26,,0,5125,16662.26,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,8997.5,7435.95,1561.55,8997.5,Taxabile,21,310344,,
BFM2 103,255,2,,20251216,20251216,380,,,,,,,,,,,,,,,,,,7952.4,1670.0,18511.22,,0,5125,18511.22,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9622.4,7952.4,1670.0,9622.4,Taxabile,21,310344,,
BFM2 103,256,2,,20251217,20251217,380,,,,,,,,,,,,,,,,,,8987.55,1887.38,20349.42,,0,5125,20349.42,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10874.93,8987.55,1887.38,10874.93,Taxabile,21,310344,,
BFM2 103,258,2,,20251219,20251219,380,,,,,,,,,,,,,,,,,,7259.36,1524.47,19164.68,,0,5125,19164.68,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,8783.83,7259.36,1524.47,8783.83,Taxabile,21,310344,,
BFM2 103,259,2,,20251220,20251220,380,,,,,,,,,,,,,,,,,,9961.72,2091.96,22851.16,,0,5125,22851.16,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12053.68,9961.72,2091.96,12053.68,Taxabile,21,310344,,
BFM2 103,260,2,,20251221,20251221,380,,,,,,,,,,,,,,,,,,7396.6,1553.29,17726.64,,0,5125,17726.64,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,8949.89,7396.6,1553.29,8949.89,Taxabile,21,310344,,
BFM2 103,261,2,,20251222,20251222,380,,,,,,,,,,,,,,,,,,8479.43,1780.68,23666.64,,0,5125,23666.64,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10260.11,8479.43,1780.68,10260.11,Taxabile,21,310344,,
BFM2 103,262,2,,20251223,20251223,380,,,,,,,,,,,,,,,,,,10289.93,2160.89,29199.67,,0,5125,29199.67,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12450.82,10289.93,2160.89,12450.82,Taxabile,21,310344,,
BFM2 103,263,2,,20251224,20251224,380,,,,,,,,,,,,,,,,,,13910.02,2921.1,29076.14,,0,5125,29076.14,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,16831.12,13910.02,2921.1,16831.12,Taxabile,21,310344,,
BFM2 103,264,2,,20251226,20251226,380,,,,,,,,,,,,,,,,,,7105.9,1492.24,14402.45,,0,5125,14402.45,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,8598.14,7105.9,1492.24,8598.14,Taxabile,21,310344,,
BFM2 103,265,2,,20251227,20251227,380,,,,,,,,,,,,,,,,,,7794.68,1636.88,16469.03,,0,5125,16469.03,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,9431.560000000001,7794.68,1636.88,9431.560000000001,Taxabile,21,310344,,
BFM2 103,266,2,,20251228,20251228,380,,,,,,,,,,,,,,,,,,6628.86,1392.06,14099.52,,0,5125,14099.52,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,8020.92,6628.86,1392.06,8020.92,Taxabile,21,310344,,
BFM2 103,267,2,,20251229,20251229,380,,,,,,,,,,,,,,,,,,8499.15,1784.82,22106.37,,0,5125,22106.37,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,10283.97,8499.15,1784.82,10283.97,Taxabile,21,310344,,
BFM2 103,268,2,,20251230,20251230,380,,,,,,,,,,,,,,,,,,10737.01,2254.77,30646.5,,0,5125,30646.5,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,12991.78,10737.01,2254.77,12991.78,Taxabile,21,310344,,
BFM2 103,269,2,,20251231,20251231,380,,,,,,,,,,,,,,,,,,10986.92,2307.25,24753.69,,0,5125,24753.69,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,13294.17,10986.92,2307.25,13294.17,Taxabile,21,310344,,
BFM2 103,240,2,,20251201,20251201,380,,,,,,,,,,,,,,,,,,7304.39,803.48,17476.52,,0,5125,17476.52,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,8107.870000000001,7304.39,803.48,8107.870000000001,Taxabile,11,310351,,
BFM2 103,241,2,,20251202,20251202,380,,,,,,,,,,,,,,,,,,8063.62,887.0,19513.17,,0,5125,19513.17,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,8950.619999999999,8063.62,887.0,8950.619999999999,Taxabile,11,310351,,
BFM2 103,242,2,,20251203,20251203,380,,,,,,,,,,,,,,,,,,8031.46,883.46,18814.68,,0,5125,18814.68,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,8914.92,8031.46,883.46,8914.92,Taxabile,11,310351,,
BFM2 103,243,2,,20251204,20251204,380,,,,,,,,,,,,,,,,,,8465.69,931.23,20900.15,,0,5125,20900.15,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,9396.92,8465.69,931.23,9396.92,Taxabile,11,310351,,
BFM2 103,244,2,,20251205,20251205,380,,,,,,,,,,,,,,,,,,9567.35,1052.41,23073.28,,0,5125,23073.28,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,10619.76,9567.35,1052.41,10619.76,Taxabile,11,310351,,
BFM2 103,245,2,,20251206,20251206,380,,,,,,,,,,,,,,,,,,7974.75,877.22,18203.87,,0,5125,18203.87,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,8851.97,7974.75,877.22,8851.97,Taxabile,11,310351,,
BFM2 103,246,2,,20251207,20251207,380,,,,,,,,,,,,,,,,,,6641.38,730.55,14517.42,,0,5125,14517.42,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,7371.93,6641.38,730.55,7371.93,Taxabile,11,310351,,
BFM2 103,247,2,,20251208,20251208,380,,,,,,,,,,,,,,,,,,8167.63,898.44,19624.13,,0,5125,19624.13,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,9066.07,8167.63,898.44,9066.07,Taxabile,11,310351,,
BFM2 103,248,2,,20251209,20251209,380,,,,,,,,,,,,,,,,,,8595.23,945.47,21573.75,,0,5125,21573.75,5311,0,5328,4427,marfa m2  11%,,marfa m2 ,1,,,,,,9540.699999999999,8595.23,945.47,9540.699999999999,Taxabile,11,310351,,
