Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
F,332,3,,20260103,20260103,380,,,,,,,,,,,,,,,,,,8.26,1.74,2379.58,,0,5125,2379.58,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,10.0,8.26,1.74,10.0,Taxabile,21,310344,,
F,333,3,,20260104,20260104,380,,,,,,,,,,,,,,,,,,17.36,3.64,2247.85,,0,5125,2247.85,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,21.0,17.36,3.64,21.0,Taxabile,21,310344,,
F,334,3,,20260105,20260105,380,,,,,,,,,,,,,,,,,,7.44,1.56,3491.24,,0,5125,3491.24,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,9.0,7.44,1.56,9.0,Taxabile,21,310344,,
F,335,3,,20260106,20260106,380,,,,,,,,,,,,,,,,,,8.26,1.74,3973.32,,0,5125,3973.32,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,10.0,8.26,1.74,10.0,Taxabile,21,310344,,
F,336,3,,20260107,20260107,380,,,,,,,,,,,,,,,,,,5.37,1.13,3634.02,,0,5125,3634.02,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,6.5,5.37,1.13,6.5,Taxabile,21,310344,,
F,337,3,,20260108,20260108,380,,,,,,,,,,,,,,,,,,10.74,2.26,4054.45,,0,5125,4054.45,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,13.0,10.74,2.26,13.0,Taxabile,21,310344,,
F,338,3,,20260109,20260109,380,,,,,,,,,,,,,,,,,,29.75,6.25,4556.1,,0,5125,4556.1,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,36.0,29.75,6.25,36.0,Taxabile,21,310344,,
F,339,3,,20260110,20260110,380,,,,,,,,,,,,,,,,,,30.58,6.42,5888.29,,0,5125,5888.29,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,37.0,30.58,6.42,37.0,Taxabile,21,310344,,
F,340,3,,20260111,20260111,380,,,,,,,,,,,,,,,,,,28.51,5.99,3861.63,,0,5125,3861.63,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,34.5,28.51,5.99,34.5,Taxabile,21,310344,,
F,341,3,,20260112,20260112,380,,,,,,,,,,,,,,,,,,25.62,5.38,4875.61,,0,5125,4875.61,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,31.0,25.62,5.38,31.0,Taxabile,21,310344,,
F,342,3,,20260113,20260113,380,,,,,,,,,,,,,,,,,,9.92,2.08,4823.24,,0,5125,4823.24,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,12.0,9.92,2.08,12.0,Taxabile,21,310344,,
F,343,3,,20260114,20260114,380,,,,,,,,,,,,,,,,,,14.88,3.12,4925.46,,0,5125,4925.46,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,18.0,14.88,3.12,18.0,Taxabile,21,310344,,
F,344,3,,20260115,20260115,380,,,,,,,,,,,,,,,,,,7.44,1.56,6097.39,,0,5125,6097.39,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,9.0,7.44,1.56,9.0,Taxabile,21,310344,,
F,345,3,,20260116,20260116,380,,,,,,,,,,,,,,,,,,49.59,10.41,5655.12,,0,5125,5655.12,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,60.0,49.59,10.41,60.0,Taxabile,21,310344,,
F,346,3,,20260117,20260117,380,,,,,,,,,,,,,,,,,,54.13,11.37,3686.56,,0,5125,3686.56,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,65.5,54.13,11.37,65.5,Taxabile,21,310344,,
F,347,3,,20260118,20260118,380,,,,,,,,,,,,,,,,,,4.96,1.04,3090.75,,0,5125,3090.75,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,6.0,4.96,1.04,6.0,Taxabile,21,310344,,
F,348,3,,20260119,20260119,380,,,,,,,,,,,,,,,,,,28.93,6.07,4145.53,,0,5125,4145.53,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,35.0,28.93,6.07,35.0,Taxabile,21,310344,,
F,349,3,,20260120,20260120,380,,,,,,,,,,,,,,,,,,14.88,3.12,5005.76,,0,5125,5005.76,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,18.0,14.88,3.12,18.0,Taxabile,21,310344,,
