Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
BFM2 102,161,2,,20251001,20251001,380,,,,,,,,,,,,,,,,,,2515.54,528.26,6190.65,,0,5125,6190.65,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,3043.8,2515.54,528.26,3043.8,Taxabile,21,310352,,
BFM2 102,162,2,,20251002,20251002,380,,,,,,,,,,,,,,,,,,2208.66,463.82,5551.77,,0,5125,5551.77,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,2672.48,2208.66,463.82,2672.48,Taxabile,21,310352,,
BFM2 102,163,2,,20251003,20251003,380,,,,,,,,,,,,,,,,,,3692.87,775.5,11680.94,,0,5125,11680.94,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,4468.37,3692.87,775.5,4468.37,Taxabile,21,310352,,
BFM2 102,164,2,,20251004,20251004,380,,,,,,,,,,,,,,,,,,3644.69,765.38,10654.98,,0,5125,10654.98,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,4410.07,3644.69,765.38,4410.07,Taxabile,21,310352,,
BFM2 102,165,2,,20251005,20251005,380,,,,,,,,,,,,,,,,,,1874.18,393.58,4853.95,,0,5125,4853.95,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,2267.76,1874.18,393.58,2267.76,Taxabile,21,310352,,
BFM2 102,166,2,,20251006,20251006,380,,,,,,,,,,,,,,,,,,1609.48,337.99,4442.71,,0,5125,4442.71,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,1947.47,1609.48,337.99,1947.47,Taxabile,21,310352,,
BFM2 102,167,2,,20251007,20251007,380,,,,,,,,,,,,,,,,,,838.09,176.0,2642.69,,0,5125,2642.69,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,1014.09,838.09,176.0,1014.09,Taxabile,21,310352,,
BFM2 102,168,2,,20251008,20251008,380,,,,,,,,,,,,,,,,,,1428.37,299.96,4245.72,,0,5125,4245.72,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,1728.33,1428.37,299.96,1728.33,Taxabile,21,310352,,
BFM2 102,169,2,,20251009,20251009,380,,,,,,,,,,,,,,,,,,1951.02,409.71,5170.78,,0,5125,5170.78,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,2360.73,1951.02,409.71,2360.73,Taxabile,21,310352,,
BFM2 102,170,2,,20251010,20251010,380,,,,,,,,,,,,,,,,,,2647.59,555.99,6728.49,,0,5125,6728.49,5311,0,5328,4427,marfa m2  21%,,marfa m2 ,1,,,,,,3203.58,2647.59,555.99,3203.58,Taxabile,21,310352,,
