Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
A,741,1,,20251001,20251001,380,,,,,,,,,,,,,,,,,,619.01,129.99,33078.5,,0,5125,33078.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,749.0,619.01,129.99,749.0,Taxabile,21,310344,,
A,742,1,,20251002,20251002,380,,,,,,,,,,,,,,,,,,770.25,161.75,10450.0,,0,5125,10450.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,932.0,770.25,161.75,932.0,Taxabile,21,310344,,
A,743,1,,20251003,20251003,380,,,,,,,,,,,,,,,,,,866.53,181.97,15304.0,,0,5125,15304.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1048.5,866.53,181.97,1048.5,Taxabile,21,310344,,
A,744,1,,20251004,20251004,380,,,,,,,,,,,,,,,,,,405.37,85.13,13461.5,,0,5125,13461.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,490.5,405.37,85.13,490.5,Taxabile,21,310344,,
A,745,1,,20251005,20251005,380,,,,,,,,,,,,,,,,,,181.82,38.18,1330.0,,0,5125,1330.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,220.0,181.82,38.18,220.0,Taxabile,21,310344,,
A,746,1,,20251006,20251006,380,,,,,,,,,,,,,,,,,,1433.47,301.03,9893.0,,0,5125,9893.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,1734.5,1433.47,301.03,1734.5,Taxabile,21,310344,,
A,747,1,,20251007,20251007,380,,,,,,,,,,,,,,,,,,554.55,116.45,11349.5,,0,5125,11349.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,671.0,554.55,116.45,671.0,Taxabile,21,310344,,
A,748,1,,20251008,20251008,380,,,,,,,,,,,,,,,,,,594.21,124.79,10003.0,,0,5125,10003.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,719.0,594.21,124.79,719.0,Taxabile,21,310344,,
A,749,1,,20251009,20251009,380,,,,,,,,,,,,,,,,,,635.95,133.55,10473.5,,0,5125,10473.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,769.5,635.95,133.55,769.5,Taxabile,21,310344,,
A,750,1,,20251010,20251010,380,,,,,,,,,,,,,,,,,,611.16,128.34,18028.0,,0,5125,18028.0,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,739.5,611.16,128.34,739.5,Taxabile,21,310344,,
A,751,1,,20251011,20251011,380,,,,,,,,,,,,,,,,,,411.16,86.34,12179.5,,0,5125,12179.5,5311,0,5328,4427,autoservire 21%,,autoservire,1,,,,,,497.5,411.16,86.34,497.5,Taxabile,21,310344,,
