Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
F,243,3,,20251001,20251001,380,,,,,,,,,,,,,,,,,,16.53,3.47,4728.78,,0,5125,4728.78,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,20.0,16.53,3.47,20.0,Taxabile,21,310344,,
F,244,3,,20251002,20251002,380,,,,,,,,,,,,,,,,,,65.29,13.71,5474.65,,0,5125,5474.65,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,79.0,65.29,13.71,79.0,Taxabile,21,310344,,
F,245,3,,20251003,20251003,380,,,,,,,,,,,,,,,,,,69.83,14.67,5789.79,,0,5125,5789.79,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,84.5,69.83,14.67,84.5,Taxabile,21,310344,,
F,246,3,,20251004,20251004,380,,,,,,,,,,,,,,,,,,21.9,4.6,5337.18,,0,5125,5337.18,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,26.5,21.9,4.6,26.5,Taxabile,21,310344,,
F,247,3,,20251005,20251005,380,,,,,,,,,,,,,,,,,,17.36,3.64,3612.05,,0,5125,3612.05,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,21.0,17.36,3.64,21.0,Taxabile,21,310344,,
F,248,3,,20251006,20251006,380,,,,,,,,,,,,,,,,,,8.26,1.74,4081.1,,0,5125,4081.1,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,10.0,8.26,1.74,10.0,Taxabile,21,310344,,
F,249,3,,20251007,20251007,380,,,,,,,,,,,,,,,,,,11.98,2.52,4514.97,,0,5125,4514.97,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,14.5,11.98,2.52,14.5,Taxabile,21,310344,,
F,250,3,,20251008,20251008,380,,,,,,,,,,,,,,,,,,20.04,4.21,3921.74,,0,5125,3921.74,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,24.25,20.04,4.21,24.25,Taxabile,21,310344,,
F,251,3,,20251009,20251009,380,,,,,,,,,,,,,,,,,,75.62,15.88,7474.84,,0,5125,7474.84,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,91.5,75.62,15.88,91.5,Taxabile,21,310344,,
F,252,3,,20251010,20251010,380,,,,,,,,,,,,,,,,,,63.22,13.28,6368.77,,0,5125,6368.77,5311,0,5328,4427,ff 1 21%,,ff 1,1,,,,,,76.5,63.22,13.28,76.5,Taxabile,21,310344,,
