Unnamed: 0,Denumire,Nr. Doc(Z),Data,Unnamed: 4,Unnamed: 5,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,Unnamed: 10,0.21,Taxabile.1,Unnamed: 13,0.11,Nefolosit,Unnamed: 16,Nefolosit.1,Unnamed: 18,Netaxabil,Unnamed: 20,Unnamed: 21,0
,,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1.0,Z POS,1562.0,2025-10-01,Z emis la POS nr.14 inchiderea 9706,,6475.28,0.0,0.0,1021.33,214.48,,4694.12,516.35,,0,0,0,0,29,0,,
2.0,Z POS,710.0,2025-10-01,Z emis la POS nr.12 inchiderea 9705,,20228.14,0.0,0.0,13210.13,2774.13,,3664.76,403.12,,0,0,0,0,176,0,,
3.0,Z POS,1563.0,2025-10-02,Z emis la POS nr.14 inchiderea 9708,,5302.01,0.0,0.0,797.04,167.38,,3888.37,427.72,,0,0,0,0,21.5,0,,
4.0,Z POS,711.0,2025-10-02,Z emis la POS nr.12 inchiderea 9707,,20385.93,0.0,0.0,14130.83,2967.48,,2799.66,307.96,,0,0,0,0,180,0,,
5.0,Z POS,1564.0,2025-10-03,Z emis la POS nr.14 inchiderea 9710,,6119.25,0.0,0.0,1024.48,215.14,,4368.59,480.54,,0,0,0,0,30.5,0,,
6.0,Z POS,712.0,2025-10-03,Z emis la POS nr.12 inchiderea 9709,,20539.15,0.0,0.0,13461.11,2826.83,,3655.14,402.07,,0,0,0,0,194,0,,
7.0,Z POS,1565.0,2025-10-04,Z emis la POS nr.14 inchiderea 9712,,6104.95,0.0,0.0,1227.63,257.8,,4134.7,454.82,,0,0,0,0,30,0,,
8.0,Z POS,713.0,2025-10-04,Z emis la POS nr.12 inchiderea 9711,,15178.5,0.0,0.0,9881.63,2075.14,,2760.12,303.61,,0,0,0,0,158,0,,
9.0,Z POS,1566.0,2025-10-05,Z emis la POS nr.14 inchiderea 9714,,5271.23,0.0,0.0,1005.1,211.07,,3623.93,398.63,,0,0,0,0,32.5,0,,
10.0,Z POS,714.0,2025-10-05,Z emis la POS nr.12 inchiderea 9713,,12647.37,0.0,0.0,8289.88,1740.88,,2240.64,246.47,,0,0,0,0,129.5,0,,
11.0,Z POS,1567.0,2025-10-06,Z emis la POS nr.14 inchiderea 9716,,4712.15,0.0,0.0,581.31,122.07,,3582.23,394.04,,0,0,0,0,32.5,0,,
12.0,Z POS,715.0,2025-10-06,Z emis la POS nr.12 inchiderea 9715,,18283.4,0.0,0.0,12094.64,2539.88,,3144.94,345.94,,0,0,0,0,158,0,,
13.0,Z POS,1568.0,2025-10-07,Z emis la POS nr.14 inchiderea 9718,,5772.55,0.0,0.0,768.74,161.43,,4336.83,477.05,,0,0,0,0,28.5,0,,
14.0,Z POS,716.0,2025-10-07,Z emis la POS nr.12 inchiderea 9717,,17257.48,0.0,0.0,10935.69,2296.49,,3492.61,384.19,,0,0,0,0,148.5,0,,
15.0,Z POS,1569.0,2025-10-08,Z emis la POS nr.14 inchiderea 9720,,6108.15,0.0,0.0,661.37,138.89,,4763.41,523.98,,0,0,0,0,20.5,0,,
16.0,Z POS,717.0,2025-10-08,Z emis la POS nr.12 inchiderea 9719,,17165.54,0.0,0.0,10880.28,2284.86,,3458.92,380.48,,0,0,0,0,161,0,,
17.0,Z POS,1570.0,2025-10-09,Z emis la POS nr.14 inchiderea 9722,,4823.84,0.0,0.0,667.83,140.25,,3597.98,395.78,,0,0,0,0,22,0,,
18.0,Z POS,718.0,2025-10-09,Z emis la POS nr.12 inchiderea 9721,,16768.1,0.0,0.0,10629.67,2232.23,,3358.29,369.41,,0,0,0,0,178.5,0,,
19.0,Z POS,1571.0,2025-10-10,Z emis la POS nr.14 inchiderea 9724,,6795.38,0.0,0.0,1209.12,253.92,,4759.77,523.57,,0,0,0,0,49,0,,
20.0,Z POS,719.0,2025-10-10,Z emis la POS nr.12 inchiderea 9723,,22498.93,0.0,0.0,14919.22,3133.04,,3831.23,421.44,,0,0,0,0,194,0,,
21.0,Z POS,1572.0,2025-10-11,Z emis la POS nr.14 inchiderea 9726,,6000.28,0.0,0.0,1099.64,230.92,,4172.72,459,,0,0,0,0,38,0,,
22.0,Z POS,720.0,2025-10-11,Z emis la POS nr.12 inchiderea 9725,,18595.84,0.0,0.0,12346.44,2592.75,,3143.38,345.77,,0,0,0,0,167.5,0,,
23.0,Z POS,1573.0,2025-10-12,Z emis la POS nr.14 inchiderea 9728,,4127.85,0.0,0.0,813.1,170.75,,2809.01,308.99,,0,0,0,0,26,0,,
24.0,Z POS,721.0,2025-10-12,Z emis la POS nr.12 inchiderea 9727,,13601.76,0.0,0.0,8861.79,1860.98,,2469.81,271.68,,0,0,0,0,137.5,0,,
25.0,Z POS,1574.0,2025-10-14,Z emis la POS nr.14 inchiderea 9730,,5868.73,0.0,0.0,802.73,168.57,,4392.73,483.2,,0,0,0,0,21.5,0,,
26.0,Z POS,722.0,2025-10-14,Z emis la POS nr.12 inchiderea 9729,,15964.18,0.0,0.0,11227.78,2357.83,,1991.5,219.07,,0,0,0,0,168,0,,
27.0,Z POS,1575.0,2025-10-15,Z emis la POS nr.14 inchiderea 9732,,5272.46,0.0,0.0,689.55,144.81,,3977.12,437.48,,0,0,0,0,23.5,0,,
28.0,Z POS,723.0,2025-10-15,Z emis la POS nr.12 inchiderea 9731,,16742.29,0.0,0.0,11048.49,2320.18,,2884.34,317.28,,0,0,0,0,172,0,,
29.0,Z POS,1576.0,2025-10-16,Z emis la POS nr.14 inchiderea 9734,,5454.16,0.0,0.0,432.36,90.79,,4421.63,486.38,,0,0,0,0,23,0,,
