Unnamed: 0,Denumire,Nr. Doc(Z),Data,Unnamed: 4,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,Unnamed: 9,0.21,Taxabile.1,Unnamed: 12,0.11,Nefolosit,Unnamed: 15,Nefolosit.1,Unnamed: 17,Netaxabil,Unnamed: 19,Unnamed: 20,0
,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1.0,Z POS,161.0,2025-10-01,Z emis la POS nr.102 inchiderea 6310,6226.15,0.0,0.0,2515.54,528.26,,2835,311.85,,0,0,0,0,35.5,0,,
2.0,Z POS,179.0,2025-10-01,Z emis la POS nr.103 inchiderea 6311,21433.53,0.0,0.0,8428.91,1770.07,,10025.27,1102.78,,0,0,0,0,106.5,0,,
3.0,Z POS,162.0,2025-10-02,Z emis la POS nr.102 inchiderea 6312,5596.77,0.0,0.0,2208.66,463.82,,2593.95,285.34,,0,0,0,0,45,0,,
4.0,Z POS,180.0,2025-10-02,Z emis la POS nr.103 inchiderea 6313,19125.6,0.0,0.0,7960.56,1671.72,,8458.4,930.42,,0,0,0,0,104.5,0,,
5.0,Z POS,163.0,2025-10-03,Z emis la POS nr.102 inchiderea 6314,11740.94,0.0,0.0,3692.87,775.5,,6497.81,714.76,,0,0,0,0,60,0,,
6.0,Z POS,181.0,2025-10-03,Z emis la POS nr.103 inchiderea 6315,20573.23,0.0,0.0,8289.11,1740.71,,9391.81,1033.1,,0,0,0,0,118.5,0,,
7.0,Z POS,164.0,2025-10-04,Z emis la POS nr.102 inchiderea 6316,10701.98,0.0,0.0,3644.69,765.38,,5626.05,618.86,,0,0,0,0,47,0,,
8.0,Z POS,182.0,2025-10-04,Z emis la POS nr.103 inchiderea 6317,19106.12,0.0,0.0,7203.3,1512.69,,9287.95,1021.68,,0,0,0,0,80.5,0,,
9.0,Z POS,165.0,2025-10-05,Z emis la POS nr.102 inchiderea 6318,4881.45,0.0,0.0,1874.18,393.58,,2329.9,256.29,,0,0,0,0,27.5,0,,
10.0,Z POS,183.0,2025-10-05,Z emis la POS nr.103 inchiderea 6319,19431.82,0.0,0.0,9141.17,1919.65,,7422.52,816.48,,0,0,0,0,132,0,,
11.0,Z POS,166.0,2025-10-06,Z emis la POS nr.102 inchiderea 6320,4470.21,0.0,0.0,1609.48,337.99,,2247.96,247.28,,0,0,0,0,27.5,0,,
12.0,Z POS,184.0,2025-10-06,Z emis la POS nr.103 inchiderea 6321,20163.56,0.0,0.0,8558.39,1797.26,,8723.79,959.62,,0,0,0,0,124.5,0,,
17.0,Z POS,167.0,2025-10-07,Z emis la POS nr.102 inchiderea 6322,2655.19,0.0,0.0,838.09,176.0,,1467.21,161.39,,0,0,0,0,12.5,0,,
18.0,Z POS,185.0,2025-10-07,Z emis la POS nr.103 inchiderea 6323,22953.57,0.0,0.0,9374.58,1968.66,,10325.97,1135.86,,0,0,0,0,148.5,0,,
19.0,Z POS,168.0,2025-10-08,Z emis la POS nr.102 inchiderea 6324,4266.22,0.0,0.0,1428.37,299.96,,2267.92,249.47,,0,0,0,0,20.5,0,,
20.0,Z POS,186.0,2025-10-08,Z emis la POS nr.103 inchiderea 6325,20088.89,0.0,0.0,7922.08,1663.64,,9367.72,1030.45,,0,0,0,0,105,0,,
23.0,Z POS,169.0,2025-10-09,Z emis la POS nr.102 inchiderea 6326,5196.28,0.0,0.0,1951.02,409.71,,2531.58,278.47,,0,0,0,0,25.5,0,,
24.0,Z POS,187.0,2025-10-09,Z emis la POS nr.103 inchiderea 6327,21778.8,0.0,0.0,9439.31,1982.26,,9199.31,1011.92,,0,0,0,0,146,0,,
25.0,Z POS,170.0,2025-10-10,Z emis la POS nr.102 inchiderea 6328,6778.49,0.0,0.0,2647.59,555.99,,3175.59,349.32,,0,0,0,0,50,0,,
26.0,Z POS,188.0,2025-10-10,Z emis la POS nr.103 inchiderea 6329,22211.36,0.0,0.0,8911.97,1871.51,,10171.51,1118.87,,0,0,0,0,137.5,0,,
27.0,Z POS,171.0,2025-10-11,Z emis la POS nr.102 inchiderea 6330,9520.42,0.0,0.0,3429.31,720.15,,4809.87,529.09,,0,0,0,0,32,0,,
28.0,Z POS,189.0,2025-10-11,Z emis la POS nr.103 inchiderea 6331,24029.67,0.0,0.0,10597.76,2225.53,,9946.29,1094.09,,0,0,0,0,166,0,,
29.0,Z POS,172.0,2025-10-12,Z emis la POS nr.102 inchiderea 6332,6923.13,0.0,0.0,2822.97,592.82,,3118.77,343.07,,0,0,0,0,45.5,0,,
30.0,Z POS,190.0,2025-10-12,Z emis la POS nr.103 inchiderea 6333,18776.17,0.0,0.0,8283.26,1739.49,,7781.01,855.91,,0,0,0,0,116.5,0,,
31.0,Z POS,173.0,2025-10-13,Z emis la POS nr.102 inchiderea 6334,15722.23,0.0,0.0,6498.26,1364.64,,6996.69,769.64,,0,0,0,0,93,0,,
32.0,Z POS,191.0,2025-10-13,Z emis la POS nr.103 inchiderea 6335,25133.21,0.0,0.0,11829.77,2484.25,,9609.18,1057.01,,0,0,0,0,153,0,,
33.0,Z POS,174.0,2025-10-14,Z emis la POS nr.102 inchiderea 6337,7058.62,0.0,0.0,2499.29,524.85,,3601.33,396.15,,0,0,0,0,37,0,,
34.0,Z POS,192.0,2025-10-14,Z emis la POS nr.103 inchiderea 6336,21101.45,0.0,0.0,9234.15,1939.17,,8841.56,972.57,,0,0,0,0,114,0,,
35.0,Z POS,175.0,2025-10-15,Z emis la POS nr.102 inchiderea 6338,6381.12,0.0,0.0,2427.47,509.77,,3066.11,337.27,,0,0,0,0,40.5,0,,
36.0,Z POS,193.0,2025-10-15,Z emis la POS nr.103 inchiderea 6339,21373.03,0.0,0.0,8702.96,1827.62,,9654.46,1061.99,,0,0,0,0,126,0,,
37.0,Z POS,176.0,2025-10-16,Z emis la POS nr.102 inchiderea 6340,3568.27,0.0,0.0,1391.39,292.19,,1675.85,184.34,,0,0,0,0,24.5,0,,
38.0,Z POS,194.0,2025-10-16,Z emis la POS nr.103 inchiderea 6341,20891.08,0.0,0.0,8324.71,1748.19,,9637.55,1060.13,,0,0,0,0,120.5,0,,
39.0,Z POS,177.0,2025-10-17,Z emis la POS nr.102 inchiderea 6342,6780.71,0.0,0.0,2644.27,555.3,,3190.22,350.92,,0,0,0,0,40,0,,
40.0,Z POS,195.0,2025-10-17,Z emis la POS nr.103 inchiderea 6343,27048.4,0.0,0.0,10329.06,2169.1,,12970.49,1426.75,,0,0,0,0,153,0,,
41.0,Z POS,178.0,2025-10-18,Z emis la POS nr.102 inchiderea 6344,4166.05,0.0,0.0,1388.49,291.58,,2218.9,244.08,,0,0,0,0,23,0,,
42.0,Z POS,179.0,2025-10-18,Z emis la POS nr.102 inchiderea 6345,3244.87,0.0,0.0,1395.1,292.97,,1391.26,153.04,,0,0,0,0,12.5,0,,
43.0,Z POS,196.0,2025-10-18,Z emis la POS nr.103 inchiderea 6346,21624.05,0.0,0.0,9125.55,1916.36,,9417.24,1035.9,,0,0,0,0,129,0,,
44.0,Z POS,180.0,2025-10-19,Z emis la POS nr.102 inchiderea 6347,7949.71,0.0,0.0,3070.34,644.77,,3769.91,414.69,,0,0,0,0,50,0,,
45.0,Z POS,197.0,2025-10-19,Z emis la POS nr.103 inchiderea 6348,17644.45,0.0,0.0,7624.84,1601.22,,7487.74,823.65,,0,0,0,0,107,0,,
46.0,Z POS,181.0,2025-10-20,Z emis la POS nr.102 inchiderea 6349,5741.79,0.0,0.0,2397.6,503.49,,2538.92,279.28,,0,0,0,0,22.5,0,,
47.0,Z POS,198.0,2025-10-20,Z emis la POS nr.103 inchiderea 6350,20660.41,0.0,0.0,8875.96,1863.95,,8820.27,970.23,,0,0,0,0,130,0,,
48.0,Z POS,182.0,2025-10-21,Z emis la POS nr.102 inchiderea 6351,3109.3,0.0,0.0,1157.62,243.1,,1523.5,167.58,,0,0,0,0,17.5,0,,
49.0,Z POS,199.0,2025-10-21,Z emis la POS nr.103 inchiderea 6352,20650.77,0.0,0.0,8767.71,1841.22,,8927.78,982.06,,0,0,0,0,132,0,,
50.0,Z POS,183.0,2025-10-22,Z emis la POS nr.102 inchiderea 6353,5296.88,0.0,0.0,2112.15,443.55,,2440.7,268.48,,0,0,0,0,32,0,,
51.0,Z POS,200.0,2025-10-22,Z emis la POS nr.103 inchiderea 6354,22069.75,0.0,0.0,9322.17,1957.66,,9584.16,1054.26,,0,0,0,0,151.5,0,,
52.0,Z POS,184.0,2025-10-23,Z emis la POS nr.102 inchiderea 6355,4697.5,0.0,0.0,1844.74,387.39,,2185.92,240.45,,0,0,0,0,39,0,,
53.0,Z POS,201.0,2025-10-23,Z emis la POS nr.103 inchiderea 6356,22068.28,0.0,0.0,10068.87,2114.46,,8779.23,965.72,,0,0,0,0,140,0,,
54.0,Z POS,185.0,2025-10-24,Z emis la POS nr.102 inchiderea 6357,6368.91,0.0,0.0,2387.49,501.37,,3109.05,342,,0,0,0,0,29,0,,
55.0,Z POS,202.0,2025-10-24,Z emis la POS nr.103 inchiderea 6358,24183.61,0.0,0.0,9592.8,2014.49,,11230.92,1235.4,,0,0,0,0,110,0,,
56.0,Z POS,186.0,2025-10-25,Z emis la POS nr.102 inchiderea 6359,5674.75,0.0,0.0,1975.04,414.76,,2939.59,323.36,,0,0,0,0,22,0,,
57.0,Z POS,203.0,2025-10-25,Z emis la POS nr.103 inchiderea 6360,24067.59,0.0,0.0,9906.38,2080.34,,10723.76,1179.61,,0,0,0,0,177.5,0,,
58.0,Z POS,187.0,2025-10-26,Z emis la POS nr.102 inchiderea 6361,4111.25,0.0,0.0,1669.89,350.68,,1856.47,204.21,,0,0,0,0,30,0,,
59.0,Z POS,204.0,2025-10-26,Z emis la POS nr.103 inchiderea 6362,18634.41,0.0,0.0,8933.44,1876.02,,6954.01,764.94,,0,0,0,0,106,0,,
60.0,Z POS,188.0,2025-10-27,Z emis la POS nr.102 inchiderea 6363,4565.41,0.0,0.0,1618.21,339.82,,2322.41,255.47,,0,0,0,0,29.5,0,,
