Serie document,Numar document,Cod depozit,Nume depozit,Data document,Data scadenta,Cod tip factura SAF-T,Cod partener,Nume partener,Atribut fiscal,Cod fiscal,Nr.Reg.Com.,Rezidenta,Tara,Judet,Localitate,Strada,Numar,Bloc,Scara,Etaj,Apartament,Cod postal,Cod agent,Valoare neta totala,Valoare TVA,Total document,Numar bonuri fiscale,Card,Cont banca,Numerar,Cont casa,Tichete,Cont tichete,Cont TVA,Cod articol,Cod de bare,Denumire articol,Cantitate,Cod lot,Data expirare,Nr seriale,Tip miscare SAF-T,Cont serviciu,Pret cu TVA,Total fara TVA,Total TVA,Total cu TVA,Optiune TVA,Cota TVA,Cod TVA SAF-T,Discount,DiscountLinie
F 2,19,4,,20250901,20250901,380,,,,,,,,,,,,,,,,,,54.96,11.54,1285.5,,0,5125,1285.5,5311,0,5328,4427,ff 2 21%,,,1,,,,,,66.5,54.96,11.54,66.5,Taxabile,21,310344,,
F 2,20,4,,20250902,20250902,380,,,,,,,,,,,,,,,,,,68.6,14.4,2496.54,,0,5125,2496.54,5311,0,5328,4427,ff 2 21%,,,1,,,,,,83.0,68.6,14.4,83.0,Taxabile,21,310344,,
F 2,21,4,,20250903,20250903,380,,,,,,,,,,,,,,,,,,15.7,3.3,1664.88,,0,5125,1664.88,5311,0,5328,4427,ff 2 21%,,,1,,,,,,19.0,15.7,3.3,19.0,Taxabile,21,310344,,
F 2,22,4,,20250904,20250904,380,,,,,,,,,,,,,,,,,,68.6,14.4,2617.33,,0,5125,2617.33,5311,0,5328,4427,ff 2 21%,,,1,,,,,,83.0,68.6,14.4,83.0,Taxabile,21,310344,,
F 2,23,4,,20250905,20250905,380,,,,,,,,,,,,,,,,,,68.6,14.4,2088.27,,0,5125,2088.27,5311,0,5328,4427,ff 2 21%,,,1,,,,,,83.0,68.6,14.4,83.0,Taxabile,21,310344,,
F 2,24,4,,20250908,20250908,380,,,,,,,,,,,,,,,,,,36.36,7.64,2148.47,,0,5125,2148.47,5311,0,5328,4427,ff 2 21%,,,1,,,,,,44.0,36.36,7.64,44.0,Taxabile,21,310344,,
F 2,25,4,,20250909,20250909,380,,,,,,,,,,,,,,,,,,51.24,10.76,2158.97,,0,5125,2158.97,5311,0,5328,4427,ff 2 21%,,,1,,,,,,62.0,51.24,10.76,62.0,Taxabile,21,310344,,
F 2,26,4,,20250910,20250910,380,,,,,,,,,,,,,,,,,,61.57,12.93,2550.25,,0,5125,2550.25,5311,0,5328,4427,ff 2 21%,,,1,,,,,,74.5,61.57,12.93,74.5,Taxabile,21,310344,,
F 2,27,4,,20250911,20250911,380,,,,,,,,,,,,,,,,,,36.78,7.72,1624.88,,0,5125,1624.88,5311,0,5328,4427,ff 2 21%,,,1,,,,,,44.5,36.78,7.72,44.5,Taxabile,21,310344,,
F 2,28,4,,20250912,20250912,380,,,,,,,,,,,,,,,,,,47.52,9.98,2287.81,,0,5125,2287.81,5311,0,5328,4427,ff 2 21%,,,1,,,,,,57.5,47.52,9.98,57.5,Taxabile,21,310344,,
F 2,29,4,,20250915,20250915,380,,,,,,,,,,,,,,,,,,61.16,12.84,2292.62,,0,5125,2292.62,5311,0,5328,4427,ff 2 21%,,,1,,,,,,74.0,61.16,12.84,74.0,Taxabile,21,310344,,
F 2,30,4,,20250916,20250916,380,,,,,,,,,,,,,,,,,,57.85,12.15,3724.5,,0,5125,3724.5,5311,0,5328,4427,ff 2 21%,,,1,,,,,,70.0,57.85,12.15,70.0,Taxabile,21,310344,,
F 2,31,4,,20250917,20250917,380,,,,,,,,,,,,,,,,,,59.92,12.58,2521.73,,0,5125,2521.73,5311,0,5328,4427,ff 2 21%,,,1,,,,,,72.5,59.92,12.58,72.5,Taxabile,21,310344,,
F 2,32,4,,20250918,20250918,380,,,,,,,,,,,,,,,,,,92.56,19.44,3402.59,,0,5125,3402.59,5311,0,5328,4427,ff 2 21%,,,1,,,,,,112.0,92.56,19.44,112.0,Taxabile,21,310344,,
F 2,33,4,,20250919,20250919,380,,,,,,,,,,,,,,,,,,42.56,8.94,3331.88,,0,5125,3331.88,5311,0,5328,4427,ff 2 21%,,,1,,,,,,51.5,42.56,8.94,51.5,Taxabile,21,310344,,
F 2,34,4,,20250922,20250922,380,,,,,,,,,,,,,,,,,,76.03,15.97,2875.87,,0,5125,2875.87,5311,0,5328,4427,ff 2 21%,,,1,,,,,,92.0,76.03,15.97,92.0,Taxabile,21,310344,,
F 2,35,4,,20250923,20250923,380,,,,,,,,,,,,,,,,,,37.6,7.9,2340.71,,0,5125,2340.71,5311,0,5328,4427,ff 2 21%,,,1,,,,,,45.5,37.6,7.9,45.5,Taxabile,21,310344,,
F 2,36,4,,20250924,20250924,380,,,,,,,,,,,,,,,,,,28.51,5.99,2172.26,,0,5125,2172.26,5311,0,5328,4427,ff 2 21%,,,1,,,,,,34.5,28.51,5.99,34.5,Taxabile,21,310344,,
F 2,37,4,,20250925,20250925,380,,,,,,,,,,,,,,,,,,34.3,7.2,2795.33,,0,5125,2795.33,5311,0,5328,4427,ff 2 21%,,,1,,,,,,41.5,34.3,7.2,41.5,Taxabile,21,310344,,
F 2,38,4,,20250926,20250926,380,,,,,,,,,,,,,,,,,,47.52,9.98,3204.77,,0,5125,3204.77,5311,0,5328,4427,ff 2 21%,,,1,,,,,,57.5,47.52,9.98,57.5,Taxabile,21,310344,,
F 2,39,4,,20250929,20250929,380,,,,,,,,,,,,,,,,,,40.08,8.42,2328.11,,0,5125,2328.11,5311,0,5328,4427,ff 2 21%,,,1,,,,,,48.5,40.08,8.42,48.5,Taxabile,21,310344,,
F 2,40,4,,20250930,20250930,380,,,,,,,,,,,,,,,,,,28.1,5.9,2003.12,,0,5125,2003.12,5311,0,5328,4427,ff 2 21%,,,1,,,,,,34.0,28.1,5.9,34.0,Taxabile,21,310344,,
F 2,19,4,,20250901,20250901,380,,,,,,,,,,,,,,,,,,1098.2,120.8,1285.5,,0,5125,1285.5,5311,0,5328,4427,ff 2 11%,,,1,,,,,,1219.0,1098.2,120.8,1219.0,Taxabile,11,310351,,
F 2,20,4,,20250902,20250902,380,,,,,,,,,,,,,,,,,,2174.36,239.18,2496.54,,0,5125,2496.54,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2413.54,2174.36,239.18,2413.54,Taxabile,11,310351,,
F 2,21,4,,20250903,20250903,380,,,,,,,,,,,,,,,,,,1482.77,163.11,1664.88,,0,5125,1664.88,5311,0,5328,4427,ff 2 11%,,,1,,,,,,1645.88,1482.77,163.11,1645.88,Taxabile,11,310351,,
F 2,22,4,,20250904,20250904,380,,,,,,,,,,,,,,,,,,2283.18,251.15,2617.33,,0,5125,2617.33,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2534.33,2283.18,251.15,2534.33,Taxabile,11,310351,,
F 2,23,4,,20250905,20250905,380,,,,,,,,,,,,,,,,,,1806.55,198.72,2088.27,,0,5125,2088.27,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2005.27,1806.55,198.72,2005.27,Taxabile,11,310351,,
F 2,24,4,,20250908,20250908,380,,,,,,,,,,,,,,,,,,1895.92,208.55,2148.47,,0,5125,2148.47,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2104.4700000000003,1895.92,208.55,2104.4700000000003,Taxabile,11,310351,,
F 2,25,4,,20250909,20250909,380,,,,,,,,,,,,,,,,,,1889.16,207.81,2158.97,,0,5125,2158.97,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2096.9700000000003,1889.16,207.81,2096.9700000000003,Taxabile,11,310351,,
F 2,26,4,,20250910,20250910,380,,,,,,,,,,,,,,,,,,2230.41,245.34,2550.25,,0,5125,2550.25,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2475.75,2230.41,245.34,2475.75,Taxabile,11,310351,,
F 2,27,4,,20250911,20250911,380,,,,,,,,,,,,,,,,,,1423.77,156.61,1624.88,,0,5125,1624.88,5311,0,5328,4427,ff 2 11%,,,1,,,,,,1580.38,1423.77,156.61,1580.38,Taxabile,11,310351,,
F 2,28,4,,20250912,20250912,380,,,,,,,,,,,,,,,,,,2009.29,221.02,2287.81,,0,5125,2287.81,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2230.31,2009.29,221.02,2230.31,Taxabile,11,310351,,
F 2,29,4,,20250915,20250915,380,,,,,,,,,,,,,,,,,,1998.76,219.86,2292.62,,0,5125,2292.62,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2218.62,1998.76,219.86,2218.62,Taxabile,11,310351,,
F 2,30,4,,20250916,20250916,380,,,,,,,,,,,,,,,,,,3292.34,362.16,3724.5,,0,5125,3724.5,5311,0,5328,4427,ff 2 11%,,,1,,,,,,3654.5,3292.34,362.16,3654.5,Taxabile,11,310351,,
F 2,31,4,,20250917,20250917,380,,,,,,,,,,,,,,,,,,2206.51,242.72,2521.73,,0,5125,2521.73,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2449.23,2206.51,242.72,2449.23,Taxabile,11,310351,,
F 2,32,4,,20250918,20250918,380,,,,,,,,,,,,,,,,,,2964.5,326.09,3402.59,,0,5125,3402.59,5311,0,5328,4427,ff 2 11%,,,1,,,,,,3290.59,2964.5,326.09,3290.59,Taxabile,11,310351,,
F 2,33,4,,20250919,20250919,380,,,,,,,,,,,,,,,,,,2955.3,325.08,3331.88,,0,5125,3331.88,5311,0,5328,4427,ff 2 11%,,,1,,,,,,3280.38,2955.3,325.08,3280.38,Taxabile,11,310351,,
F 2,34,4,,20250922,20250922,380,,,,,,,,,,,,,,,,,,2507.99,275.88,2875.87,,0,5125,2875.87,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2783.87,2507.99,275.88,2783.87,Taxabile,11,310351,,
F 2,35,4,,20250923,20250923,380,,,,,,,,,,,,,,,,,,2067.76,227.45,2340.71,,0,5125,2340.71,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2295.21,2067.76,227.45,2295.21,Taxabile,11,310351,,
F 2,36,4,,20250924,20250924,380,,,,,,,,,,,,,,,,,,1925.91,211.85,2172.26,,0,5125,2172.26,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2137.76,1925.91,211.85,2137.76,Taxabile,11,310351,,
F 2,37,4,,20250925,20250925,380,,,,,,,,,,,,,,,,,,2480.93,272.9,2795.33,,0,5125,2795.33,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2753.83,2480.93,272.9,2753.83,Taxabile,11,310351,,
F 2,38,4,,20250926,20250926,380,,,,,,,,,,,,,,,,,,2835.38,311.89,3204.77,,0,5125,3204.77,5311,0,5328,4427,ff 2 11%,,,1,,,,,,3147.27,2835.38,311.89,3147.27,Taxabile,11,310351,,
F 2,39,4,,20250929,20250929,380,,,,,,,,,,,,,,,,,,2053.7,225.91,2328.11,,0,5125,2328.11,5311,0,5328,4427,ff 2 11%,,,1,,,,,,2279.6099999999997,2053.7,225.91,2279.6099999999997,Taxabile,11,310351,,
F 2,40,4,,20250930,20250930,380,,,,,,,,,,,,,,,,,,1773.98,195.14,2003.12,,0,5125,2003.12,5311,0,5328,4427,ff 2 11%,,,1,,,,,,1969.12,1773.98,195.14,1969.12,Taxabile,11,310351,,
